# GPU: NVIDIA B200
# CC: cc100
# Model: Qwen2.5-0.5B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(1152, 896), (896, 896), (9728, 896), (896, 4864)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
16,1152,896,8,8,5.936233,5.564,66,1,0,5.920569,5.579,66,1,0,5.615843,5.882,66,1,0
16,896,896,8,8,4.606737,5.577,66,1,0,4.599347,5.586,66,1,0,4.598030,5.587,66,1,0
16,9728,896,8,8,50.537991,5.519,66,1,0,48.998184,5.692,66,1,0,48.992687,5.693,66,1,0
16,896,4864,8,8,16.860664,8.271,66,1,0,13.450232,10.369,66,2,114704,12.311838,11.327,66,2,114704
128,1152,896,8,8,48.165749,5.486,66,1,0,47.975456,5.508,66,1,0,47.880875,5.519,66,1,0
128,896,896,8,8,37.644497,5.460,66,1,0,37.359829,5.501,66,1,0,37.348965,5.503,66,1,0
128,9728,896,8,8,404.257111,5.520,66,1,0,400.748871,5.568,66,1,0,398.709534,5.596,66,1,0
128,896,4864,8,8,126.722481,8.804,66,1,0,123.398994,9.041,66,1,0,113.356796,9.842,66,1,0
1024,1152,896,8,8,382.204865,5.531,66,1,0,380.838715,5.551,66,1,0,379.025146,5.577,66,1,0
1024,896,896,8,8,298.409973,5.510,66,1,0,295.594421,5.562,66,1,0,295.000427,5.573,66,1,0
1024,9728,896,8,8,1445.936768,12.346,66,1,0,1445.861938,12.346,66,1,0,1444.775879,12.356,66,1,0
1024,896,4864,8,8,1080.503662,8.260,66,1,0,1078.498169,8.276,66,1,0,867.535217,10.288,66,1,0
4096,1152,896,8,8,1026.218994,8.240,66,1,0,1026.139404,8.240,66,1,0,1025.144043,8.248,66,1,0
4096,896,896,8,8,797.458069,8.247,66,1,0,797.303467,8.249,66,1,0,795.698242,8.265,66,1,0
4096,9728,896,8,8,2317.583984,30.810,66,1,0,2181.372559,32.733,66,1,0,2109.523926,33.848,66,1,0
4096,896,4864,8,8,2171.607178,16.440,66,1,0,1931.420166,18.485,66,1,0,1930.684814,18.492,66,1,0
16384,1152,896,8,8,1902.555420,17.778,66,1,0,1872.026001,18.068,66,1,0,1829.766479,18.485,66,1,0
16384,896,896,8,8,1644.561768,15.996,66,1,0,1600.536621,16.436,66,1,0,1598.047607,16.462,66,1,0
16384,9728,896,8,8,2518.824219,113.392,66,1,0,2442.385742,116.941,66,1,0,2296.309326,124.380,66,1,0
16384,896,4864,8,8,2581.154785,55.327,66,1,0,2538.546631,56.256,66,1,0,2451.502441,58.253,66,1,0
