# GPU: NVIDIA B200
# CC: cc100
# Model: Qwen2.5-0.5B-INT8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(1152, 896), (896, 896), (9728, 896), (896, 4864)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
16,1152,896,8,8,5.966427,5.536,66,1,0,5.803070,5.692,66,1,0,5.577909,5.922,66,1,0
16,896,896,8,8,4.691812,5.476,66,1,0,4.689072,5.479,66,1,0,4.680051,5.489,66,1,0
16,9728,896,8,8,50.473610,5.526,66,1,0,50.206139,5.556,66,1,0,49.473763,5.638,66,1,0
16,896,4864,8,8,16.859358,8.272,66,1,0,13.524949,10.311,66,2,114704,13.509436,10.323,66,2,114704
128,1152,896,8,8,47.872555,5.520,66,1,0,46.995251,5.623,66,1,0,46.692318,5.659,66,1,0
128,896,896,8,8,37.288250,5.512,66,1,0,37.068733,5.544,66,1,0,37.062313,5.545,66,1,0
128,9728,896,8,8,400.910187,5.566,66,1,0,397.278381,5.617,66,1,0,394.558380,5.655,66,1,0
128,896,4864,8,8,134.864426,8.273,66,1,0,134.822708,8.275,66,1,0,129.672897,8.604,66,1,0
1024,1152,896,8,8,381.256348,5.545,66,1,0,378.612366,5.583,66,1,0,378.092285,5.591,66,1,0
1024,896,896,8,8,298.150208,5.515,66,1,0,293.165710,5.608,66,1,0,292.448212,5.622,66,1,0
1024,9728,896,8,8,1445.749512,12.347,66,1,0,1444.850708,12.355,66,1,0,1443.654297,12.365,66,1,0
1024,896,4864,8,8,866.672607,10.299,66,1,0,866.672607,10.299,66,1,0,865.677368,10.310,66,1,0
4096,1152,896,8,8,1025.581909,8.245,66,1,0,1024.945312,8.250,66,1,0,1024.309570,8.255,66,1,0
4096,896,896,8,8,796.994263,8.252,66,1,0,796.901489,8.253,66,1,0,796.530823,8.257,66,1,0
4096,9728,896,8,8,2319.101562,30.789,66,1,0,2188.754639,32.623,66,1,0,2124.365479,33.612,66,1,0
4096,896,4864,8,8,2171.353516,16.442,66,1,0,1931.587402,18.483,66,1,0,1931.252930,18.486,66,1,0
16384,1152,896,8,8,1862.098999,18.164,66,1,0,1840.215454,18.380,66,1,0,1829.164795,18.491,66,1,0
16384,896,896,8,8,1629.243286,16.147,66,1,0,1599.260010,16.449,66,1,0,1598.202881,16.460,66,1,0
16384,9728,896,8,8,2535.899658,112.629,66,1,0,2433.316895,117.377,66,1,0,2311.228516,123.577,66,1,0
16384,896,4864,8,8,2572.347168,55.516,66,1,0,2549.831055,56.007,66,1,0,2467.974609,57.864,66,1,0
