# GPU: NVIDIA B200
# CC: cc100
# Model: Qwen2.5-0.5B-INT8
# alg_count: 6, config_count: 6
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: int8, outdtype: int32, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(1152, 896), (896, 896), (9728, 896), (896, 4864)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
16,1152,896,6,6,5.320303,6.208,21,1,0,5.319480,6.209,11,1,0,3.794266,8.705,71,1,0
16,896,896,6,6,4.152568,6.187,21,1,0,4.152353,6.187,11,1,0,2.923477,8.788,71,1,0
16,9728,896,6,6,45.054729,6.191,21,1,0,27.136639,10.278,23,1,0,27.038149,10.316,71,1,0
16,896,4864,6,6,9.688640,14.394,11,1,0,8.489780,16.427,21,1,0,7.549969,18.472,71,1,0
128,1152,896,6,6,42.610744,6.201,21,1,0,32.055653,8.243,20,1,0,29.946817,8.824,71,1,0
128,896,896,6,6,33.126305,6.204,21,1,0,25.003029,8.220,20,1,0,22.905693,8.972,71,1,0
128,9728,896,6,6,216.890518,10.288,21,1,0,215.936783,10.333,70,1,0,215.910034,10.335,71,1,0
128,896,4864,6,6,62.755642,17.778,21,1,0,60.328682,18.493,70,1,0,60.317204,18.497,71,1,0
1024,1152,896,6,6,205.468872,10.288,70,1,0,205.456070,10.289,21,1,0,204.977921,10.313,71,1,0
1024,896,896,6,6,247.365189,6.647,21,1,0,159.848862,10.286,23,1,0,159.570877,10.304,70,1,0
1024,9728,896,6,6,1083.378540,16.477,71,1,0,965.392517,18.491,70,1,0,580.650330,30.743,21,1,0
1024,896,4864,6,6,482.880096,18.484,21,1,0,482.128906,18.513,70,1,0,482.095520,18.514,71,1,0
4096,1152,896,6,6,818.819214,10.327,70,1,0,683.341003,12.374,71,1,0,457.528748,18.481,21,1,0
4096,896,896,6,6,638.025879,10.308,70,1,0,636.405762,10.334,71,1,0,400.453796,16.423,21,1,0
4096,9728,896,6,6,1749.599976,40.812,71,1,0,1553.770386,45.955,70,1,0,697.294373,102.401,21,1,0
4096,896,4864,6,6,1928.315552,18.515,70,1,0,1781.561157,20.040,71,1,0,645.053711,55.347,21,1,0
16384,1152,896,6,6,1373.644653,24.623,70,1,0,1367.796265,24.728,71,1,0,641.611145,52.716,21,1,0
16384,896,896,6,6,1278.910156,20.570,71,1,0,1165.348755,22.574,70,1,0,635.372986,41.404,21,1,0
16384,9728,896,6,6,2053.278564,139.102,71,1,0,1854.590942,154.004,70,1,0,695.228760,410.822,21,1,0
16384,896,4864,6,6,2480.829834,57.564,71,1,0,2176.776123,65.605,70,1,0,830.315796,171.992,21,1,0
