# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-3B-INT8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: int8, outdtype: int32, warmup=25, repeat=100, verify=False
# M_list: [16, 256, 1024]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,ws1,waves1,tops2,lat_us2,id2,ws2,waves2,tops3,lat_us3,id3,ws3,waves3
16,3840,2560,1,2,50.842518,6.187,21,0,0.3571,,,,,,,,,,
16,2560,2560,1,2,33.940647,6.179,21,0,0.2381,,,,,,,,,,
16,13824,2560,1,2,69.091667,16.391,21,0,1.2857,,,,,,,,,,
16,2560,6912,2,2,55.096272,10.277,21,655360,0.9524,34.519547,16.403,21,655360,0.9524,,,,,
256,3840,2560,1,2,245.648682,20.489,21,0,0.7143,,,,,,,,,,
256,2560,2560,1,2,272.484802,12.314,21,0,0.9524,,,,,,,,,,
256,13824,2560,1,2,316.443329,57.260,21,0,2.5714,,,,,,,,,,
256,2560,6912,2,2,316.001801,28.670,21,0,0.9524,276.353119,32.783,21,5242880,0.9524,,,,,
1024,3840,2560,1,2,351.052429,57.349,21,0,2.8571,,,,,,,,,,
1024,2560,2560,1,2,344.900787,38.915,21,0,1.9048,,,,,,,,,,
1024,13824,2560,1,2,357.464020,202.755,21,0,10.2857,,,,,,,,,,
1024,2560,6912,1,2,411.162964,88.137,21,0,1.9048,,,,,,,,,,
