# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,ws1,waves1,tops2,lat_us2,id2,ws2,waves2,tops3,lat_us3,id3,ws3,waves3
16,3072,2048,8,8,32.557728,6.184,35,0,0.1905,32.513985,6.192,35,0,0.1905,24.458487,8.231,35,0,0.2857
16,2048,2048,8,8,21.692808,6.187,35,0,0.1270,21.684956,6.189,35,0,0.1270,16.296152,8.236,35,1049119,0.3810
16,16384,2048,8,8,65.371292,16.425,35,0,1.0159,65.338203,16.434,35,0,1.0159,40.275631,26.660,35,0,0.7619
16,2048,8192,8,8,38.484264,13.950,35,524831,0.3810,32.673553,16.431,35,0,0.1270,29.072599,18.467,35,1049119,0.3810
128,3072,2048,8,8,112.167160,14.359,35,0,0.7619,112.149658,14.361,35,0,0.7619,112.052292,14.374,35,0,0.3810
128,2048,2048,8,8,130.419907,8.233,35,0,0.2540,130.379349,8.236,35,0,0.3810,104.605896,10.265,35,0,0.5079
128,16384,2048,8,8,190.432404,45.108,35,0,2.0317,182.793182,46.993,35,0,3.0476,181.731415,47.267,35,0,4.0635
128,2048,8192,8,8,161.172150,26.648,35,1049247,1.2698,161.032928,26.671,35,0,0.3810,149.728058,28.685,35,0,0.5079
1024,3072,2048,8,8,209.472992,61.511,35,0,2.2857,209.469742,61.512,35,0,2.2857,202.922577,63.497,35,0,3.0476
1024,2048,2048,8,8,190.414871,45.112,35,0,2.0317,182.626556,47.036,35,0,3.0476,178.495255,48.124,35,0,4.0635
1024,16384,2048,8,8,230.855118,297.674,35,0,12.1905,230.813705,297.727,35,0,12.1905,224.033890,306.737,35,0,6.0952
1024,2048,8192,8,8,215.072678,159.759,35,8390815,6.0952,213.735275,160.758,35,8392863,10.1587,201.080887,170.875,35,0,3.0476
4096,3072,2048,8,8,228.691528,225.367,35,0,12.1905,227.735672,226.313,35,0,9.1429,227.065598,226.981,35,0,9.1429
4096,2048,2048,8,8,220.286819,155.977,35,0,12.1905,220.168488,156.061,35,0,6.0952,220.049362,156.146,35,0,6.0952
4096,16384,2048,8,8,240.384628,1143.492,35,0,24.3810,240.362808,1143.596,35,0,24.3810,237.646759,1156.666,35,0,48.7619
4096,2048,8192,8,8,228.501038,601.481,35,33562783,24.3810,226.966187,605.548,35,0,6.0952,224.006454,613.549,35,33558687,6.0952
16384,3072,2048,8,8,238.177200,865.567,35,0,18.2857,237.536957,867.900,35,0,18.2857,236.274384,872.538,35,0,36.5714
16384,2048,2048,8,8,237.038651,579.817,35,0,24.3810,234.607422,585.825,35,0,12.1905,233.105164,589.601,35,0,24.3810
16384,16384,2048,7,8,241.391418,4554.891,35,0,97.5238,241.208893,4558.338,35,0,97.5238,232.473541,4729.621,35,0,195.0476
16384,2048,8192,8,8,237.525543,2314.512,35,0,12.1905,237.196228,2317.726,35,0,24.3810,218.916595,2511.257,35,0,48.7619
