# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: fp32, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,ws1,waves1,tops2,lat_us2,id2,ws2,waves2,tops3,lat_us3,id3,ws3,waves3
16,3072,2048,8,8,32.539211,6.187,35,0,0.1905,32.498871,6.195,35,0,0.1905,24.453732,8.233,35,0,0.2857
16,2048,2048,8,8,21.704033,6.184,35,0,0.1270,21.680471,6.191,35,0,0.1270,16.311996,8.228,35,1049119,0.2540
16,16384,2048,8,8,65.381485,16.423,35,0,1.0159,65.317848,16.439,35,0,1.0159,37.402805,28.708,35,0,1.0159
16,2048,8192,8,8,37.193436,14.435,35,524831,0.3810,29.088730,18.456,35,524703,0.6349,29.082680,18.460,35,0,0.1270
128,3072,2048,8,8,112.169662,14.359,35,0,0.7619,112.164658,14.359,35,0,0.7619,112.039818,14.375,35,0,0.2857
128,2048,2048,8,8,129.774261,8.274,35,0,0.2540,104.365143,10.288,35,0,0.5079,104.284035,10.296,35,0,0.5079
128,16384,2048,8,8,190.416214,45.111,35,0,2.0317,182.473846,47.075,35,0,3.0476,179.601135,47.828,35,0,4.0635
128,2048,8192,8,8,161.241852,26.637,35,1049247,1.2698,161.044525,26.669,35,0,0.3810,149.676300,28.695,35,0,0.5079
1024,3072,2048,8,8,202.954300,63.487,35,0,3.0476,202.944061,63.490,35,0,2.2857,202.904160,63.502,35,0,2.2857
1024,2048,2048,8,8,190.305511,45.138,35,0,2.0317,182.399460,47.094,35,0,3.0476,174.932373,49.104,35,8390815,4.5714
1024,16384,2048,8,8,228.318726,300.980,35,0,12.1905,227.810577,301.652,35,0,12.1905,222.267456,309.175,35,0,6.0952
1024,2048,8192,8,8,217.803711,157.756,35,8392863,10.1587,215.154572,159.698,35,8390815,6.0952,201.875168,170.203,35,0,3.0476
4096,3072,2048,8,8,226.429718,227.619,35,0,12.1905,225.223663,228.837,35,0,9.1429,225.123871,228.939,35,0,9.1429
4096,2048,2048,8,8,223.529510,153.715,35,0,8.1270,217.872223,157.706,35,0,6.0952,217.855423,157.718,35,0,12.1905
4096,16384,2048,8,8,238.420273,1152.913,35,0,24.3810,238.126144,1154.337,35,0,24.3810,230.176895,1194.203,35,0,48.7619
4096,2048,8192,8,8,227.094818,605.205,35,0,6.0952,224.396866,612.482,35,33562783,24.3810,223.865509,613.935,35,33558687,6.0952
16384,3072,2048,8,8,236.443741,871.913,35,0,18.2857,235.891403,873.955,35,0,18.2857,231.449524,890.727,35,0,36.5714
16384,2048,2048,8,8,233.405396,588.842,35,0,24.3810,232.771378,590.446,35,0,12.1905,232.655777,590.740,35,0,12.1905
16384,16384,2048,7,8,239.306351,4594.578,35,0,97.5238,238.387756,4612.282,35,0,97.5238,226.485519,4854.667,35,0,195.0476
16384,2048,8192,8,8,237.669235,2313.113,35,0,12.1905,235.537903,2334.044,35,0,24.3810,217.971024,2522.151,35,0,48.7619
