# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8-INT8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: int8, outdtype: int32, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,ws1,waves1,tops2,lat_us2,id2,ws2,waves2,tops3,lat_us3,id3,ws3,waves3
16,3072,2048,1,2,32.664223,6.164,21,0,0.2857,,,,,,,,,,
16,2048,2048,1,2,21.804451,6.156,21,0,0.1905,,,,,,,,,,
16,16384,2048,1,2,58.237030,18.437,21,0,1.5238,,,,,,,,,,
16,2048,8192,2,2,52.245941,10.276,21,655360,0.9524,32.714325,16.411,21,655360,0.9524,,,,,
128,3072,2048,1,2,156.889267,10.266,21,0,0.5714,,,,,,,,,,
128,2048,2048,1,2,173.965317,6.172,21,0,0.3810,,,,,,,,,,
128,16384,2048,1,2,246.592331,34.835,21,0,1.5238,,,,,,,,,,
128,2048,8192,2,2,232.568695,18.468,21,5242880,0.9524,209.427216,20.508,21,2097152,0.7619,,,,,
1024,3072,2048,1,2,273.339142,47.139,21,0,2.2857,,,,,,,,,,
1024,2048,2048,1,2,246.714691,34.817,21,0,1.5238,,,,,,,,,,
1024,16384,2048,1,2,339.753021,202.263,21,0,12.1905,,,,,,,,,,
1024,2048,8192,1,2,335.350464,102.459,21,0,1.5238,,,,,,,,,,
4096,3072,2048,1,2,337.972778,152.496,21,0,9.1429,,,,,,,,,,
4096,2048,2048,1,2,317.846252,108.102,21,0,6.0952,,,,,,,,,,
4096,16384,2048,1,2,355.886108,772.376,21,0,48.7619,,,,,,,,,,
4096,2048,8192,1,2,281.948914,487.460,21,67108864,12.1905,,,,,,,,,,
16384,3072,2048,1,2,353.576355,583.066,21,0,36.5714,,,,,,,,,,
16384,2048,2048,1,2,350.045227,392.632,21,0,24.3810,,,,,,,,,,
16384,16384,2048,1,2,343.404907,3201.794,21,0,195.0476,,,,,,,,,,
16384,2048,8192,1,2,400.495758,1372.688,21,0,24.3810,,,,,,,,,,
