# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: int8, outdtype: int32, warmup=25, repeat=100, verify=True
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
16,3072,2048,1,2,32.604977,6.175,21,1,0,,,,,,,,,,
16,2048,2048,1,2,21.776148,6.164,21,1,0,,,,,,,,,,
16,16384,2048,1,2,58.202694,18.448,21,1,0,,,,,,,,,,
16,2048,8192,2,2,52.301308,10.265,21,5,655360,33.485451,16.033,21,5,655360,,,,,
128,3072,2048,1,2,157.148895,10.249,21,1,0,,,,,,,,,,
128,2048,2048,1,2,174.145905,6.166,21,1,0,,,,,,,,,,
128,16384,2048,1,2,246.415741,34.860,21,1,0,,,,,,,,,,
128,2048,8192,2,2,232.693710,18.458,21,5,5242880,209.499146,20.501,21,2,2097152,,,,,
1024,3072,2048,1,2,273.439392,47.122,21,1,0,,,,,,,,,,
1024,2048,2048,1,2,261.809052,32.810,21,1,0,,,,,,,,,,
1024,16384,2048,1,2,342.673004,200.540,21,1,0,,,,,,,,,,
1024,2048,8192,1,2,335.311707,102.471,21,1,0,,,,,,,,,,
4096,3072,2048,1,2,337.018799,152.928,21,1,0,,,,,,,,,,
4096,2048,2048,1,2,317.493805,108.222,21,1,0,,,,,,,,,,
4096,16384,2048,1,2,356.567017,770.901,21,1,0,,,,,,,,,,
4096,2048,8192,1,2,283.253693,485.215,21,2,67108864,,,,,,,,,,
16384,3072,2048,1,2,352.882996,584.212,21,1,0,,,,,,,,,,
16384,2048,2048,1,2,352.101898,390.339,21,1,0,,,,,,,,,,
16384,16384,2048,1,2,343.462769,3201.254,21,1,0,,,,,,,,,,
16384,2048,8192,1,2,396.410431,1386.835,21,1,0,,,,,,,,,,
