# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: BitNet-2B4T-FP8E4M3
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: fp8e4m3, outdtype: bf16, warmup=2, repeat=30, verify=False
# M_list: [16, 128, 1024]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,workspace,waves_count
16,2560,2560,NN_RC_Col,25.277449,8.297,35,0,0.1587
16,2560,2560,NN_RC_Row,25.362230,8.269,35,0,0.3175
16,2560,2560,NT_RR_Col,25.352417,8.272,35,0,0.1587
16,2560,2560,NT_RR_Row,25.352417,8.272,35,0,0.3175
16,2560,2560,TN_CC_Col,25.241751,8.308,35,0,0.1587
16,2560,2560,TN_CC_Row,25.368774,8.267,35,0,0.3175
16,2560,2560,TT_CR_Col,25.283951,8.294,35,0,0.1587
16,2560,2560,TT_CR_Row,25.368774,8.267,35,0,0.3175
16,2560,6912,NN_RC_Col,45.774044,12.370,35,655999,0.4762
16,2560,6912,NN_RC_Row,37.966072,14.914,35,1311359,0.3175
16,2560,6912,NT_RR_Col,45.777992,12.369,35,655999,0.4762
16,2560,6912,NT_RR_Row,38.858181,14.572,35,1311359,0.3175
16,2560,6912,TN_CC_Col,45.777992,12.369,35,655999,0.4762
16,2560,6912,TN_CC_Row,37.038906,15.287,35,1311839,0.9524
16,2560,6912,TT_CR_Col,45.770096,12.371,35,655999,0.4762
16,2560,6912,TT_CR_Row,37.793079,14.982,35,1311359,0.3175
16,3840,2560,NN_RC_Col,37.785007,8.325,35,0,0.2381
16,3840,2560,NN_RC_Row,25.482763,12.345,35,0,0.3571
16,3840,2560,NT_RR_Col,37.785007,8.325,35,0,0.2381
16,3840,2560,NT_RR_Row,25.613340,12.282,35,0,0.3571
16,3840,2560,TN_CC_Col,37.814079,8.319,35,0,0.2381
16,3840,2560,TN_CC_Row,26.805305,11.735,35,0,0.2381
16,3840,2560,TT_CR_Col,38.062984,8.265,35,0,0.2381
16,3840,2560,TT_CR_Row,25.487165,12.342,35,0,0.4762
16,13824,2560,NN_RC_Col,68.708466,16.482,35,0,0.8571
16,13824,2560,NN_RC_Row,42.220760,26.822,35,0,0.8571
16,13824,2560,NT_RR_Col,68.690681,16.486,35,0,0.8571
16,13824,2560,NT_RR_Row,42.323429,26.757,35,0,0.8571
