# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Qwen2.5-14B-FP8E4M3
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: fp8e4m3, outdtype: bf16, warmup=5, repeat=10, verify=False
# M_list: [16, 256]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,workspace,waves_count
16,2560,2560,NN_RC_Col,24.880789,8.429,35,0,0.1587
16,2560,2560,NN_RC_Row,24.928110,8.413,35,0,0.3175
16,2560,2560,NT_RR_Col,24.890240,8.426,35,0,0.1587
16,2560,2560,NT_RR_Row,24.918631,8.416,35,0,0.3175
16,2560,2560,TN_CC_Col,24.880789,8.429,35,0,0.1587
16,2560,2560,TN_CC_Row,24.890240,8.426,35,0,0.3175
16,2560,2560,TT_CR_Col,24.918631,8.416,35,0,0.1587
16,2560,2560,TT_CR_Row,24.890240,8.426,35,0,0.3175
16,2560,6912,NN_RC_Col,45.429321,12.464,35,655999,0.4762
16,2560,6912,NN_RC_Row,34.139919,16.586,35,1311839,0.9524
16,2560,6912,NT_RR_Col,45.059132,12.566,35,655999,0.4762
16,2560,6912,NT_RR_Row,34.139919,16.586,35,1311839,0.9524
16,2560,6912,TN_CC_Col,45.070606,12.563,35,655999,0.4762
16,2560,6912,TN_CC_Row,33.962994,16.672,35,1311839,0.9524
16,2560,6912,TT_CR_Col,45.406006,12.470,35,655999,0.4762
16,2560,6912,TT_CR_Row,34.120171,16.595,35,1311839,0.9524
16,3840,2560,NN_RC_Col,36.653248,8.582,35,0,0.2381
16,3840,2560,NN_RC_Row,27.974958,11.245,35,0,0.3571
16,3840,2560,NT_RR_Col,36.530655,8.611,35,0,0.2381
16,3840,2560,NT_RR_Row,27.943148,11.258,35,0,0.3571
16,3840,2560,TN_CC_Col,37.463413,8.397,35,0,0.2381
16,3840,2560,TN_CC_Row,29.591812,10.630,35,0,0.2381
16,3840,2560,TT_CR_Col,37.377945,8.416,35,0,0.2381
16,3840,2560,TT_CR_Row,29.600725,10.627,35,0,0.2381
16,13824,2560,NN_RC_Col,67.952072,16.666,35,0,0.8571
16,13824,2560,NN_RC_Row,41.895870,27.030,35,0,0.8571
16,13824,2560,NT_RR_Col,67.899925,16.678,35,0,0.8571
16,13824,2560,NT_RR_Row,40.978973,27.635,35,0,0.8571
16,13824,2560,TN_CC_Col,67.382790,16.806,35,0,0.8571
16,13824,2560,TN_CC_Row,41.920685,27.014,35,0,1.2857
16,13824,2560,TT_CR_Col,67.860863,16.688,35,0,0.8571
16,13824,2560,TT_CR_Row,42.357197,26.736,35,0,0.8571
256,2560,2560,NN_RC_Col,178.056732,18.845,35,0,0.4762
256,2560,2560,NN_RC_Row,162.519547,20.646,35,0,0.4762
256,2560,2560,NT_RR_Col,174.733551,19.203,35,0,0.4762
256,2560,2560,NT_RR_Row,161.892227,20.726,35,0,0.6349
256,2560,2560,TN_CC_Col,178.359589,18.813,35,0,0.4762
256,2560,2560,TN_CC_Row,162.418839,20.659,35,0,0.4762
256,2560,2560,TT_CR_Col,176.290512,19.034,35,0,0.4762
256,2560,2560,TT_CR_Row,161.842270,20.733,35,0,0.6349
256,2560,6912,NN_RC_Col,190.791519,47.485,35,0,0.4762
256,2560,6912,NN_RC_Row,191.410675,47.331,35,0,0.4762
256,2560,6912,NT_RR_Col,192.099014,47.162,35,0,0.4762
256,2560,6912,NT_RR_Row,191.242584,47.373,35,0,0.4762
256,2560,6912,TN_CC_Col,191.010345,47.430,35,0,0.4762
256,2560,6912,TN_CC_Row,191.358917,47.344,35,0,0.4762
256,2560,6912,TT_CR_Col,192.412338,47.085,35,0,0.4762
256,2560,6912,TT_CR_Row,191.410675,47.331,35,0,0.4762
256,3840,2560,NN_RC_Col,174.085678,28.912,35,0,0.9524
256,3840,2560,NN_RC_Row,174.047134,28.918,35,0,0.9524
256,3840,2560,NT_RR_Col,174.143494,28.902,35,0,0.9524
256,3840,2560,NT_RR_Row,174.124207,28.906,35,0,0.9524
256,3840,2560,TN_CC_Col,173.089478,29.078,35,0,1.4286
256,3840,2560,TN_CC_Row,174.124207,28.906,35,0,0.9524
256,3840,2560,TT_CR_Col,174.278564,28.880,35,0,0.9524
256,3840,2560,TT_CR_Row,173.739532,28.970,35,0,1.4286
256,13824,2560,NN_RC_Col,195.663651,92.605,35,0,3.4286
256,13824,2560,NN_RC_Row,194.400726,93.206,35,0,3.4286
256,13824,2560,NT_RR_Col,195.704224,92.586,35,0,3.4286
256,13824,2560,NT_RR_Row,194.654694,93.085,35,0,3.4286
256,13824,2560,TN_CC_Col,194.641312,93.091,35,0,3.4286
256,13824,2560,TN_CC_Row,195.690704,92.592,35,0,3.4286
256,13824,2560,TT_CR_Col,195.474503,92.694,35,0,3.4286
256,13824,2560,TT_CR_Row,194.234024,93.286,35,0,3.4286
