# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: BitNet-2B4T-FP8E4M3
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: fp8e4m3, outdtype: fp32, warmup=5, repeat=10, verify=False
# M_list: [16, 256]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,workspace,waves_count
16,2560,2560,NN_RC_Col,24.909161,8.419,35,0,0.1587
16,2560,2560,NN_RC_Row,24.928110,8.413,35,0,0.3175
16,2560,2560,NT_RR_Col,24.918631,8.416,35,0,0.1587
16,2560,2560,NT_RR_Row,24.947086,8.406,35,0,0.3175
16,2560,2560,TN_CC_Col,24.796062,8.458,35,0,0.1587
16,2560,2560,TN_CC_Row,24.947086,8.406,35,0,0.3175
16,2560,2560,TT_CR_Col,24.861910,8.435,35,0,0.1587
16,2560,2560,TT_CR_Row,24.937593,8.410,35,0,0.3175
16,2560,6912,NN_RC_Col,45.487713,12.448,35,655999,0.4762
16,2560,6912,NN_RC_Row,34.100441,16.605,35,1311839,0.9524
16,2560,6912,NT_RR_Col,45.429321,12.464,35,655999,0.4762
16,2560,6912,NT_RR_Row,34.113590,16.598,35,1311839,0.9524
16,2560,6912,TN_CC_Col,44.381042,12.758,35,655999,0.4762
16,2560,6912,TN_CC_Row,34.139919,16.586,35,1311839,0.9524
16,2560,6912,TT_CR_Col,44.706215,12.666,35,655999,0.4762
16,2560,6912,TT_CR_Row,34.113590,16.598,35,1311839,0.9524
16,3840,2560,NN_RC_Col,37.392166,8.413,35,0,0.2381
16,3840,2560,NN_RC_Row,29.591812,10.630,35,0,0.3571
16,3840,2560,NT_RR_Col,37.491993,8.390,35,0,0.2381
16,3840,2560,NT_RR_Row,29.591812,10.630,35,0,0.3571
16,3840,2560,TN_CC_Col,37.491993,8.390,35,0,0.2381
16,3840,2560,TN_CC_Row,29.582907,10.634,35,0,0.2381
16,3840,2560,TT_CR_Col,37.449146,8.400,35,0,0.2381
16,3840,2560,TT_CR_Row,25.296965,12.435,35,0,0.3571
16,13824,2560,NN_RC_Col,67.939034,16.669,35,0,0.8571
16,13824,2560,NN_RC_Row,41.910751,27.021,35,0,0.8571
16,13824,2560,NT_RR_Col,67.912956,16.675,35,0,0.8571
16,13824,2560,NT_RR_Row,41.767311,27.114,35,0,0.8571
16,13824,2560,TN_CC_Col,67.925987,16.672,35,0,0.8571
16,13824,2560,TN_CC_Row,39.330341,28.794,35,0,1.2857
16,13824,2560,TT_CR_Col,67.588699,16.755,35,0,0.8571
16,13824,2560,TT_CR_Row,41.920685,27.014,35,0,0.8571
256,2560,2560,NN_RC_Col,162.192734,20.688,35,0,0.6349
256,2560,2560,NN_RC_Row,162.067398,20.704,35,0,0.6349
256,2560,2560,NT_RR_Col,162.117508,20.698,35,0,0.4762
256,2560,2560,NT_RR_Row,162.167648,20.691,35,0,0.4762
256,2560,2560,TN_CC_Col,161.717453,20.749,35,0,0.4762
256,2560,2560,TN_CC_Row,162.217834,20.685,35,0,0.4762
256,2560,2560,TT_CR_Col,161.369034,20.794,35,0,0.4762
256,2560,2560,TT_CR_Row,162.067398,20.704,35,0,0.4762
256,2560,6912,NN_RC_Col,191.384781,47.338,35,0,0.4762
256,2560,6912,NN_RC_Row,190.830093,47.475,35,0,0.6349
256,2560,6912,NT_RR_Col,190.907288,47.456,35,0,0.4762
256,2560,6912,NT_RR_Row,191.436539,47.325,35,0,0.4762
256,2560,6912,TN_CC_Col,190.688705,47.510,35,0,0.4762
256,2560,6912,TN_CC_Row,190.933044,47.450,35,0,0.4762
256,2560,6912,TT_CR_Col,190.624496,47.526,35,0,0.4762
256,2560,6912,TT_CR_Row,191.475388,47.315,35,0,0.4762
256,3840,2560,NN_RC_Col,173.165680,29.066,35,0,1.4286
256,3840,2560,NN_RC_Row,173.222916,29.056,35,0,1.4286
256,3840,2560,NT_RR_Col,174.239960,28.886,35,0,0.9524
256,3840,2560,NT_RR_Row,174.239960,28.886,35,0,0.9524
256,3840,2560,TN_CC_Col,173.013321,29.091,35,0,0.9524
256,3840,2560,TN_CC_Row,173.127594,29.072,35,0,0.9524
256,3840,2560,TT_CR_Col,174.278564,28.880,35,0,0.9524
256,3840,2560,TT_CR_Row,173.873978,28.947,35,0,1.4286
256,13824,2560,NN_RC_Col,195.710999,92.582,35,0,3.4286
256,13824,2560,NN_RC_Row,195.656891,92.608,35,0,3.4286
256,13824,2560,NT_RR_Col,195.717758,92.579,35,0,3.4286
256,13824,2560,NT_RR_Row,195.663651,92.605,35,0,3.4286
256,13824,2560,TN_CC_Col,191.832184,94.454,35,0,3.4286
256,13824,2560,TN_CC_Row,194.835541,92.998,35,0,3.4286
256,13824,2560,TT_CR_Col,195.643387,92.614,35,0,3.4286
256,13824,2560,TT_CR_Row,195.312698,92.771,35,0,3.4286
