# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-3B-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: int8, outdtype: fp32, warmup=5, repeat=10, verify=False
# M_list: [16, 256]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,workspace,waves_count
16,2560,2560,NN_CR_Col,1.278851,163.987,16,0,0.0680
16,2560,2560,NN_CR_Row,1.279026,163.965,16,0,0.0680
16,2560,2560,NN_RC_Col,3.782524,55.443,11,0,1.2698
16,2560,2560,NN_RC_Row,1.065817,196.765,16,0,0.0794
16,2560,2560,NT_CC_Col,1.278103,164.083,16,0,0.0680
16,2560,2560,NT_CC_Row,1.278277,164.061,16,0,0.0680
16,2560,2560,NT_RR_Col,3.780996,55.466,11,0,1.2698
16,2560,2560,NT_RR_Row,1.068197,196.326,16,0,0.0794
16,2560,2560,TN_CC_Col,3.790399,55.328,11,0,1.2698
16,2560,2560,TN_CC_Row,1.067275,196.496,16,0,0.0794
16,2560,2560,TN_RR_Col,1.278078,164.086,16,0,0.0680
16,2560,2560,TN_RR_Row,1.278651,164.013,16,0,0.0680
16,2560,2560,TT_CR_Col,3.787551,55.370,11,0,1.2698
16,2560,2560,TT_CR_Row,1.065245,196.870,16,0,0.0794
16,2560,2560,TT_RC_Col,1.276833,164.246,16,0,0.0680
16,2560,2560,TT_RC_Row,1.277654,164.141,16,0,0.0680
16,2560,6912,NN_CR_Col,1.382087,409.693,16,0,0.0680
16,2560,6912,NN_CR_Row,1.381299,409.926,16,0,0.0680
16,2560,6912,NN_RC_Col,3.839583,147.472,11,0,1.2698
16,2560,6912,NN_RC_Row,1.193726,474.339,16,0,0.0794
16,2560,6912,NT_CC_Col,1.382130,409.680,16,0,0.0680
16,2560,6912,NT_CC_Row,1.380857,410.058,16,0,0.0680
16,2560,6912,NT_RR_Col,3.828700,147.891,11,0,1.2698
16,2560,6912,NT_RR_Row,1.191628,475.174,16,0,0.0794
16,2560,6912,TN_CC_Col,3.836836,147.578,11,0,1.2698
16,2560,6912,TN_CC_Row,1.192134,474.973,16,0,0.0794
16,2560,6912,TN_RR_Col,1.381127,409.978,16,0,0.0680
16,2560,6912,TN_RR_Row,1.381235,409.946,16,0,0.0680
16,2560,6912,TT_CR_Col,4.106456,137.888,11,0,1.2698
16,2560,6912,TT_CR_Row,1.190585,475.590,16,0,0.0794
16,2560,6912,TT_RC_Col,1.381763,409.789,16,0,0.0680
16,2560,6912,TT_RC_Row,1.381493,409.869,16,0,0.0680
16,3840,2560,NN_CR_Col,1.917528,164.051,16,0,0.1020
16,3840,2560,NN_CR_Row,1.903309,165.277,16,0,0.1020
16,3840,2560,NN_RC_Col,3.932947,79.984,11,0,1.9048
16,3840,2560,NN_RC_Row,1.574401,199.805,16,0,0.1190
16,3840,2560,NT_CC_Col,1.918801,163.942,16,0,0.1020
16,3840,2560,NT_CC_Row,1.900586,165.514,16,0,0.1020
16,3840,2560,NT_RR_Col,3.927604,80.093,11,0,1.9048
16,3840,2560,NT_RR_Row,1.573166,199.962,16,0,0.1190
16,3840,2560,TN_CC_Col,3.923685,80.173,11,0,1.9048
16,3840,2560,TN_CC_Row,1.572688,200.022,16,0,0.1190
16,3840,2560,TN_RR_Col,1.912046,164.522,16,0,0.1020
16,3840,2560,TN_RR_Row,1.904895,165.139,16,0,0.1020
16,3840,2560,TT_CR_Col,3.929488,80.054,11,0,1.9048
16,3840,2560,TT_CR_Row,1.574754,199.760,16,0,0.1190
16,3840,2560,TT_RC_Col,1.911637,164.557,16,0,0.1020
16,3840,2560,TT_RC_Row,1.901983,165.392,16,0,0.1020
16,13824,2560,NN_CR_Col,4.878678,232.125,16,0,0.3673
16,13824,2560,NN_CR_Row,4.887842,231.690,16,0,0.3673
16,13824,2560,NN_RC_Col,4.285837,264.234,11,0,6.8571
16,13824,2560,NN_RC_Row,4.066723,278.470,16,0,0.4286
16,13824,2560,NT_CC_Col,4.878207,232.147,16,0,0.3673
16,13824,2560,NT_CC_Row,4.889260,231.622,16,0,0.3673
16,13824,2560,NT_RR_Col,4.284799,264.298,11,0,6.8571
16,13824,2560,NT_RR_Row,4.064621,278.614,16,0,0.4286
16,13824,2560,TN_CC_Col,4.284176,264.336,11,0,6.8571
16,13824,2560,TN_CC_Row,4.065228,278.573,16,0,0.4286
16,13824,2560,TN_RR_Col,4.875049,232.298,16,0,0.3673
16,13824,2560,TN_RR_Row,4.891558,231.514,16,0,0.3673
16,13824,2560,TT_CR_Col,4.283088,264.403,11,0,6.8571
16,13824,2560,TT_CR_Row,4.069904,278.253,16,0,0.4286
16,13824,2560,TT_RC_Col,4.876795,232.214,16,0,0.3673
16,13824,2560,TT_RC_Row,4.888787,231.645,16,0,0.3673
256,2560,2560,NN_CR_Col,17.416759,192.656,16,0,0.2721
256,2560,2560,NN_CR_Row,17.231295,194.730,16,0,0.2721
256,2560,2560,NN_RC_Col,11.383089,294.774,16,0,0.3175
256,2560,2560,NN_RC_Row,11.481807,292.240,16,0,0.3175
256,2560,2560,NT_CC_Col,17.413578,192.691,16,0,0.2721
256,2560,2560,NT_CC_Row,17.239511,194.637,16,0,0.2721
256,2560,2560,NT_RR_Col,11.397317,294.406,16,0,0.3175
256,2560,2560,NT_RR_Row,11.560926,290.240,16,0,0.3175
256,2560,2560,TN_CC_Col,11.396574,294.426,16,0,0.3175
