# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-3B-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: int8, outdtype: int32, warmup=5, repeat=30, verify=False
# M_list: [16, 256, 1024]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,workspace,waves_count
16,2560,2560,NN_CR_Col,16.928535,12.388,20,0,-1.0000
16,2560,2560,NN_CR_Row,14.601411,14.363,20,0,-1.0000
16,2560,2560,NN_RC_Col,33.717716,6.220,21,0,0.2381
16,2560,2560,NN_RC_Row,33.735073,6.217,21,0,0.2381
16,2560,2560,NT_CC_Col,16.976770,12.353,20,0,-1.0000
16,2560,2560,NT_CC_Row,14.606835,14.357,20,0,-1.0000
16,2560,2560,NT_RR_Col,33.729286,6.218,21,0,0.2381
16,2560,2560,NT_RR_Row,33.740864,6.215,21,0,0.2381
16,2560,2560,TN_CC_Col,33.636955,6.235,21,0,0.2381
16,2560,2560,TN_CC_Row,33.746651,6.214,21,0,0.2381
16,2560,2560,TN_RR_Col,16.967979,12.359,20,0,-1.0000
16,2560,2560,TN_RR_Row,14.602495,14.362,20,0,-1.0000
16,2560,2560,TT_CR_Col,33.729286,6.218,21,0,0.2381
16,2560,2560,TT_CR_Row,33.735073,6.217,21,0,0.2381
16,2560,2560,TT_RC_Col,16.924162,12.391,20,0,-1.0000
16,2560,2560,TT_RC_Row,14.599242,14.365,20,0,-1.0000
16,2560,6912,NN_CR_Col,18.424963,30.732,20,0,-1.0000
16,2560,6912,NN_CR_Row,17.227285,32.868,20,0,-1.0000
16,2560,6912,NN_RC_Col,55.043720,10.287,21,655360,0.9524
16,2560,6912,NN_RC_Row,34.539764,16.394,21,327680,0.9524
16,2560,6912,NT_CC_Col,18.427521,30.727,20,0,-1.0000
16,2560,6912,NT_CC_Row,17.263142,32.800,20,0,-1.0000
16,2560,6912,NT_RR_Col,54.867344,10.320,21,655360,0.9524
16,2560,6912,NT_RR_Row,34.539764,16.394,21,327680,0.9524
16,2560,6912,TN_CC_Col,54.861683,10.321,21,655360,0.9524
16,2560,6912,TN_CC_Row,34.465755,16.429,21,327680,0.9524
16,2560,6912,TN_RR_Col,18.424963,30.732,20,0,-1.0000
16,2560,6912,TN_RR_Row,17.262020,32.802,20,0,-1.0000
16,2560,6912,TT_CR_Col,54.861683,10.321,21,655360,0.9524
16,2560,6912,TT_CR_Row,34.539764,16.394,21,327680,0.9524
16,2560,6912,TT_RC_Col,18.428160,30.726,20,0,-1.0000
16,2560,6912,TT_RC_Row,17.278313,32.771,20,0,-1.0000
16,3840,2560,NN_CR_Col,19.222527,16.365,20,0,-1.0000
16,3840,2560,NN_CR_Row,19.107944,16.463,20,0,-1.0000
16,3840,2560,NN_RC_Col,50.689587,6.206,21,0,0.3571
16,3840,2560,NN_RC_Row,50.698296,6.205,21,0,0.3571
16,3840,2560,NT_CC_Col,19.150131,16.427,20,0,-1.0000
16,3840,2560,NT_CC_Row,19.069641,16.496,20,0,-1.0000
16,3840,2560,NT_RR_Col,50.369259,6.245,21,0,0.3571
16,3840,2560,NT_RR_Row,50.403690,6.241,21,0,0.3571
16,3840,2560,TN_CC_Col,50.369259,6.245,21,0,0.3571
16,3840,2560,TN_CC_Row,49.866756,6.308,21,0,0.3571
16,3840,2560,TN_RR_Col,19.203751,16.381,20,0,-1.0000
16,3840,2560,TN_RR_Row,19.150131,16.427,20,0,-1.0000
