# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: fp8e4m3, outdtype: bf16, warmup=5, repeat=30, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,best_alg_id,workspace,waves_count
16,2048,2048,NN_RC_Col,21.457899,6.255,35,0,0.1270
16,2048,2048,NN_RC_Row,21.435966,6.261,35,0,0.2540
16,2048,2048,NT_RR_Col,21.319744,6.295,35,0,0.1270
16,2048,2048,NT_RR_Row,21.319744,6.295,35,0,0.2540
16,2048,2048,TN_CC_Col,21.439617,6.260,35,0,0.1270
16,2048,2048,TN_CC_Row,21.435966,6.261,35,0,0.2540
16,2048,2048,TT_CR_Col,21.542393,6.230,35,0,0.1270
16,2048,2048,TT_CR_Row,21.319744,6.295,35,0,0.2540
16,2048,8192,NN_RC_Col,42.945091,12.501,35,524831,0.3810
16,2048,8192,NN_RC_Row,32.615116,16.461,35,2098591,1.7778
16,2048,8192,NT_RR_Col,41.204792,13.029,35,524831,0.3810
16,2048,8192,NT_RR_Row,32.610893,16.463,35,2098591,1.7778
16,2048,8192,TN_CC_Col,40.790703,13.162,35,524831,0.3810
16,2048,8192,TN_CC_Row,32.627804,16.454,35,2098591,1.7778
16,2048,8192,TT_CR_Col,43.055302,12.469,35,524831,0.3810
16,2048,8192,TT_CR_Row,32.608776,16.464,35,2098591,1.7778
16,3072,2048,NN_RC_Col,32.126583,6.267,35,0,0.1905
16,3072,2048,NN_RC_Row,24.179308,8.326,35,0,0.3810
16,3072,2048,NT_RR_Col,31.941730,6.303,35,0,0.1905
16,3072,2048,NT_RR_Row,24.170019,8.330,35,0,0.3810
16,3072,2048,TN_CC_Col,32.050209,6.282,35,0,0.1905
16,3072,2048,TN_CC_Row,24.263233,8.298,35,0,0.3810
16,3072,2048,TT_CR_Col,32.121117,6.268,35,0,0.1905
16,3072,2048,TT_CR_Row,24.182405,8.325,35,0,0.3810
16,16384,2048,NN_RC_Col,65.171112,16.476,35,0,1.0159
16,16384,2048,NN_RC_Row,43.451160,24.711,35,0,2.0317
16,16384,2048,NT_RR_Col,65.192215,16.470,35,0,1.0159
16,16384,2048,NT_RR_Row,43.443657,24.716,35,0,2.0317
16,16384,2048,TN_CC_Col,65.162674,16.478,35,0,1.0159
16,16384,2048,TN_CC_Row,43.558327,24.651,35,0,2.0317
16,16384,2048,TT_CR_Col,65.015366,16.515,35,0,1.0159
16,16384,2048,TT_CR_Row,43.449284,24.713,35,0,2.0317
128,2048,2048,NN_RC_Col,128.972824,8.325,35,0,0.2540
128,2048,2048,NN_RC_Row,129.055511,8.320,35,0,0.3810
128,2048,2048,NT_RR_Col,128.956314,8.326,35,0,0.3810
128,2048,2048,NT_RR_Row,128.923279,8.329,35,0,0.3810
128,2048,2048,TN_CC_Col,104.023247,10.322,35,0,0.5079
128,2048,2048,TN_CC_Row,128.956314,8.326,35,0,0.3810
128,2048,2048,TT_CR_Col,128.956314,8.326,35,0,0.3810
128,2048,2048,TT_CR_Row,128.989365,8.324,35,0,0.3810
128,2048,8192,NN_RC_Col,160.829681,26.705,35,1049247,1.2698
128,2048,8192,NN_RC_Row,160.816833,26.707,35,1049247,1.2698
128,2048,8192,NT_RR_Col,160.617966,26.740,35,1049247,1.2698
128,2048,8192,NT_RR_Row,160.823242,26.706,35,1049247,1.2698
128,2048,8192,TN_CC_Col,160.816833,26.707,35,1049247,1.2698
128,2048,8192,TN_CC_Row,160.861801,26.700,35,1049247,1.2698
128,2048,8192,TT_CR_Col,160.797562,26.710,35,1049247,1.2698
128,2048,8192,TT_CR_Row,160.816833,26.707,35,1049247,1.2698
128,3072,2048,NN_RC_Col,111.682655,14.421,35,0,0.7619
128,3072,2048,NN_RC_Row,111.740509,14.414,35,0,0.7619
128,3072,2048,NT_RR_Col,111.682655,14.421,35,0,0.7619
128,3072,2048,NT_RR_Row,111.451836,14.451,35,0,0.7619
128,3072,2048,TN_CC_Col,111.674393,14.422,35,0,0.7619
128,3072,2048,TN_CC_Row,111.748779,14.413,35,0,0.7619
128,3072,2048,TT_CR_Col,111.674393,14.422,35,0,0.7619
128,3072,2048,TT_CR_Row,111.740509,14.414,35,0,0.7619
128,16384,2048,NN_RC_Col,190.033829,45.202,35,0,2.0317
128,16384,2048,NN_RC_Row,189.899399,45.234,35,0,2.0317
128,16384,2048,NT_RR_Col,190.020370,45.205,35,0,2.0317
128,16384,2048,NT_RR_Row,190.029343,45.203,35,0,2.0317
128,16384,2048,TN_CC_Col,190.042801,45.200,35,0,2.0317
128,16384,2048,TN_CC_Row,190.024872,45.204,35,0,2.0317
128,16384,2048,TT_CR_Col,190.038330,45.201,35,0,2.0317
