# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: fp8e4m3, outdtype: fp32, warmup=5, repeat=30, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,best_alg_id,workspace,waves_count
16,2048,2048,NN_RC_Col,21.337820,6.290,35,0,0.1270
16,2048,2048,NN_RC_Row,21.535019,6.233,35,0,0.2540
16,2048,2048,NT_RR_Col,21.337820,6.290,35,0,0.1270
16,2048,2048,NT_RR_Row,21.425016,6.265,35,0,0.2540
16,2048,2048,TN_CC_Col,21.337820,6.290,35,0,0.1270
16,2048,2048,TN_CC_Row,21.348680,6.287,35,0,0.2540
16,2048,2048,TT_CR_Col,21.446926,6.258,35,0,0.1270
16,2048,2048,TT_CR_Row,21.425016,6.265,35,0,0.2540
16,2048,8192,NN_RC_Col,37.318638,14.386,35,524831,0.3810
16,2048,8192,NN_RC_Row,32.617229,16.460,35,2098591,1.7778
16,2048,8192,NT_RR_Col,37.150612,14.451,35,524831,0.3810
16,2048,8192,NT_RR_Row,32.617229,16.460,35,2098591,1.7778
16,2048,8192,TN_CC_Col,37.246838,14.414,35,524831,0.3810
16,2048,8192,TN_CC_Row,32.615116,16.461,35,2098591,1.7778
16,2048,8192,TT_CR_Col,42.020073,12.777,35,524831,0.3810
16,2048,8192,TT_CR_Row,32.619347,16.459,35,2098591,1.7778
16,3072,2048,NN_RC_Col,32.126583,6.267,35,0,0.1905
16,3072,2048,NN_RC_Row,24.182405,8.325,35,0,0.3810
16,3072,2048,NT_RR_Col,32.121117,6.268,35,0,0.1905
16,3072,2048,NT_RR_Row,24.188604,8.323,35,0,0.3810
16,3072,2048,TN_CC_Col,32.170391,6.258,35,0,0.1905
16,3072,2048,TN_CC_Row,24.204115,8.318,35,0,0.2857
16,3072,2048,TT_CR_Col,32.115650,6.269,35,0,0.1905
16,3072,2048,TT_CR_Row,24.272593,8.294,35,0,0.2857
16,16384,2048,NN_RC_Col,64.998581,16.519,35,0,1.0159
