# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: int8, outdtype: int32, warmup=5, repeat=30, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,best_alg_id,workspace,waves_count
16,2048,2048,NN_CR_Col,13.066367,10.272,20,0,-1.0000
16,2048,2048,NN_CR_Row,12.972074,10.347,20,0,-1.0000
16,2048,2048,NN_RC_Col,21.616411,6.209,21,0,0.1905
16,2048,2048,NN_RC_Row,21.616411,6.209,21,0,0.1905
16,2048,2048,NT_CC_Col,13.067725,10.271,20,0,-1.0000
16,2048,2048,NT_CC_Row,13.065010,10.273,20,0,-1.0000
16,2048,2048,NT_RR_Col,21.605276,6.212,21,0,0.1905
16,2048,2048,NT_RR_Row,21.634993,6.204,21,0,0.1905
16,2048,2048,TN_CC_Col,21.586742,6.218,21,0,0.1905
16,2048,2048,TN_CC_Row,21.620123,6.208,21,0,0.1905
16,2048,2048,TN_RR_Col,13.069082,10.270,20,0,-1.0000
16,2048,2048,TN_RR_Row,12.976089,10.343,20,0,-1.0000
16,2048,2048,TT_CR_Col,21.612696,6.210,21,0,0.1905
16,2048,2048,TT_CR_Row,21.579338,6.220,21,0,0.1905
16,2048,2048,TT_RC_Col,13.069082,10.270,20,0,-1.0000
16,2048,2048,TT_RC_Row,12.928092,10.382,20,0,-1.0000
16,2048,8192,NN_CR_Col,17.432684,30.797,20,0,-1.0000
16,2048,8192,NN_CR_Row,16.352062,32.832,20,0,-1.0000
16,2048,8192,NN_RC_Col,52.038509,10.317,21,655360,0.9524
16,2048,8192,NN_RC_Row,32.750942,16.393,21,655360,0.9524
16,2048,8192,NT_CC_Col,17.454449,30.758,20,0,-1.0000
16,2048,8192,NT_CC_Row,16.329250,32.878,20,0,-1.0000
16,2048,8192,NT_RR_Col,52.043896,10.316,21,655360,0.9524
16,2048,8192,NT_RR_Row,32.750942,16.393,21,655360,0.9524
16,2048,8192,TN_CC_Col,51.957932,10.333,21,655360,0.9524
16,2048,8192,TN_CC_Row,32.753071,16.391,21,655360,0.9524
16,2048,8192,TN_RR_Col,17.456264,30.755,20,0,-1.0000
16,2048,8192,TN_RR_Row,16.309143,32.918,20,0,-1.0000
16,2048,8192,TT_CR_Col,52.033127,10.318,21,655360,0.9524
16,2048,8192,TT_CR_Row,32.753071,16.391,21,655360,0.9524
16,2048,8192,TT_RC_Col,17.413383,30.831,20,0,-1.0000
16,2048,8192,TT_RC_Row,16.356846,32.822,20,0,-1.0000
16,3072,2048,NN_CR_Col,16.276621,12.369,20,0,-1.0000
16,3072,2048,NN_CR_Row,13.998641,14.382,20,0,-1.0000
16,3072,2048,NN_RC_Col,32.458073,6.203,21,0,0.2857
16,3072,2048,NN_RC_Row,32.660267,6.164,21,0,0.2857
16,3072,2048,NT_CC_Col,16.269604,12.374,20,0,-1.0000
16,3072,2048,NT_CC_Row,13.994489,14.386,20,0,-1.0000
16,3072,2048,NT_RR_Col,32.598217,6.176,21,0,0.2857
16,3072,2048,NT_RR_Row,32.615116,6.173,21,0,0.2857
16,3072,2048,TN_CC_Col,32.637676,6.169,21,0,0.2857
16,3072,2048,TN_CC_Row,32.469238,6.201,21,0,0.2857
16,3072,2048,TN_RR_Col,16.318838,12.337,20,0,-1.0000
16,3072,2048,TN_RR_Row,14.031944,14.348,20,0,-1.0000
16,3072,2048,TT_CR_Col,32.598217,6.176,21,0,0.2857
16,3072,2048,TT_CR_Row,32.615116,6.173,21,0,0.2857
16,3072,2048,TT_RC_Col,16.275215,12.370,20,0,-1.0000
16,3072,2048,TT_RC_Row,14.032987,14.347,20,0,-1.0000
16,16384,2048,NN_CR_Col,31.718960,33.852,20,0,-1.0000
16,16384,2048,NN_CR_Row,30.825361,34.833,20,0,-1.0000
16,16384,2048,NN_RC_Col,65.280998,16.448,21,0,1.5238
16,16384,2048,NN_RC_Row,65.238693,16.459,21,0,1.5238
16,16384,2048,NT_CC_Col,31.748970,33.820,20,0,-1.0000
16,16384,2048,NT_CC_Row,30.830078,34.828,20,0,-1.0000
16,16384,2048,NT_RR_Col,65.145805,16.482,21,0,1.5238
16,16384,2048,NT_RR_Row,65.209106,16.466,21,0,1.5238
16,16384,2048,TN_CC_Col,65.217552,16.464,21,0,1.5238
16,16384,2048,TN_CC_Row,65.213326,16.465,21,0,1.5238
16,16384,2048,TN_RR_Col,31.499607,34.087,20,0,-1.0000
16,16384,2048,TN_RR_Row,30.879259,34.772,20,0,-1.0000
16,16384,2048,TT_CR_Col,65.145805,16.482,21,0,1.5238
16,16384,2048,TT_CR_Row,65.217552,16.464,21,0,1.5238
16,16384,2048,TT_RC_Col,31.818216,33.746,20,0,-1.0000
16,16384,2048,TT_RC_Row,30.826307,34.832,20,0,-1.0000
128,2048,2048,NN_CR_Col,43.361317,24.763,20,0,-1.0000
128,2048,2048,NN_CR_Row,44.818920,23.957,20,0,-1.0000
128,2048,2048,NN_RC_Col,172.015213,6.242,21,0,0.3810
128,2048,2048,NN_RC_Row,171.809677,6.250,21,0,0.3810
128,2048,2048,NT_CC_Col,43.389355,24.747,20,0,-1.0000
128,2048,2048,NT_CC_Row,44.212624,24.286,20,0,-1.0000
128,2048,2048,NT_RR_Col,171.839020,6.249,21,0,0.3810
128,2048,2048,NT_RR_Row,172.812531,6.213,21,0,0.3810
128,2048,2048,TN_CC_Col,172.368652,6.229,21,0,0.3810
128,2048,2048,TN_CC_Row,170.876434,6.284,21,0,0.3810
128,2048,2048,TN_RR_Col,43.210552,24.849,20,0,-1.0000
128,2048,2048,TN_RR_Row,44.421383,24.172,20,0,-1.0000
128,2048,2048,TT_CR_Col,171.839020,6.249,21,0,0.3810
128,2048,2048,TT_CR_Row,171.927063,6.245,21,0,0.3810
128,2048,2048,TT_RC_Col,43.351978,24.768,20,0,-1.0000
128,2048,2048,TT_RC_Row,44.265114,24.257,20,0,-1.0000
128,2048,8192,NN_CR_Col,51.404720,83.552,20,0,-1.0000
128,2048,8192,NN_CR_Row,52.425388,81.925,20,0,-1.0000
128,2048,8192,NN_RC_Col,231.716156,18.535,21,5242880,0.9524
128,2048,8192,NN_RC_Row,226.285934,18.980,21,5242880,0.9524
128,2048,8192,NT_CC_Col,51.439526,83.495,20,0,-1.0000
128,2048,8192,NT_CC_Row,52.415833,81.940,20,0,-1.0000
128,2048,8192,NT_RR_Col,232.116882,18.503,21,5242880,0.9524
128,2048,8192,NT_RR_Row,229.969254,18.676,21,5242880,0.9524
128,2048,8192,TN_CC_Col,231.596222,18.545,21,5242880,0.9524
128,2048,8192,TN_CC_Row,227.526230,18.877,21,5242880,0.9524
128,2048,8192,TN_RR_Col,51.327400,83.678,20,0,-1.0000
128,2048,8192,TN_RR_Row,52.379021,81.998,20,0,-1.0000
128,2048,8192,TT_CR_Col,231.702835,18.537,21,5242880,0.9524
128,2048,8192,TT_CR_Row,230.865891,18.604,21,5242880,0.9524
128,2048,8192,TT_RC_Col,51.301239,83.721,20,0,-1.0000
128,2048,8192,TT_RC_Row,52.427433,81.922,20,0,-1.0000
128,3072,2048,NN_CR_Col,48.548309,33.175,20,0,-1.0000
128,3072,2048,NN_CR_Row,48.184238,33.426,20,0,-1.0000
128,3072,2048,NN_RC_Col,157.155441,10.249,21,0,0.5714
128,3072,2048,NN_RC_Row,157.139069,10.250,21,0,0.5714
128,3072,2048,NT_CC_Col,48.676640,33.088,20,0,-1.0000
128,3072,2048,NT_CC_Row,48.697048,33.074,20,0,-1.0000
128,3072,2048,NT_RR_Col,156.163956,10.314,21,0,0.5714
