# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: int8, outdtype: int32, warmup=5, repeat=30, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,best_alg_id,workspace,waves_count
16,2048,2048,NN_CR_Col,13.027138,10.303,20,0,-1.0000
16,2048,2048,NN_CR_Row,12.978765,10.341,20,0,-1.0000
16,2048,2048,NN_RC_Col,21.623840,6.207,21,0,0.1905
16,2048,2048,NN_RC_Row,21.616411,6.209,21,0,0.1905
16,2048,2048,NT_CC_Col,13.039287,10.293,20,0,-1.0000
16,2048,2048,NT_CC_Row,12.887047,10.415,20,0,-1.0000
16,2048,2048,NT_RR_Col,21.608986,6.211,21,0,0.1905
16,2048,2048,NT_RR_Row,21.608986,6.211,21,0,0.1905
16,2048,2048,TN_CC_Col,21.468882,6.252,21,0,0.1905
16,2048,2048,TN_CC_Row,21.498226,6.243,21,0,0.1905
16,2048,2048,TN_RR_Col,13.024440,10.305,20,0,-1.0000
16,2048,2048,TN_RR_Row,12.852820,10.443,20,0,-1.0000
16,2048,2048,TT_CR_Col,21.601566,6.213,21,0,0.1905
16,2048,2048,TT_CR_Row,21.494553,6.244,21,0,0.1905
16,2048,2048,TT_RC_Col,13.025789,10.304,20,0,-1.0000
16,2048,2048,TT_RC_Row,12.805732,10.481,20,0,-1.0000
16,2048,8192,NN_CR_Col,17.432684,30.797,20,0,-1.0000
16,2048,8192,NN_CR_Row,16.343037,32.850,20,0,-1.0000
16,2048,8192,NN_RC_Col,52.038509,10.317,21,655360,0.9524
16,2048,8192,NN_RC_Row,33.167477,16.187,21,655360,0.9524
16,2048,8192,NT_CC_Col,17.432684,30.797,20,0,-1.0000
16,2048,8192,NT_CC_Row,16.371742,32.793,20,0,-1.0000
16,2048,8192,NT_RR_Col,52.043896,10.316,21,655360,0.9524
16,2048,8192,NT_RR_Row,33.030350,16.254,21,655360,0.9524
16,2048,8192,TN_CC_Col,51.882954,10.348,21,655360,0.9524
16,2048,8192,TN_CC_Row,32.753071,16.391,21,655360,0.9524
16,2048,8192,TN_RR_Col,17.450817,30.765,20,0,-1.0000
16,2048,8192,TN_RR_Row,16.373341,32.789,20,0,-1.0000
16,2048,8192,TT_CR_Col,52.054653,10.314,21,655360,0.9524
16,2048,8192,TT_CR_Row,32.755203,16.390,21,655360,0.9524
16,2048,8192,TT_RC_Col,17.433289,30.796,20,0,-1.0000
16,2048,8192,TT_RC_Row,16.371210,32.794,20,0,-1.0000
16,3072,2048,NN_CR_Col,16.337202,12.323,20,0,-1.0000
16,3072,2048,NN_CR_Row,14.034031,14.346,20,0,-1.0000
16,3072,2048,NN_RC_Col,32.480412,6.198,21,0,0.2857
16,3072,2048,NN_RC_Row,32.660267,6.164,21,0,0.2857
16,3072,2048,NT_CC_Col,16.280832,12.366,20,0,-1.0000
16,3072,2048,NT_CC_Row,13.995527,14.385,20,0,-1.0000
