# GPU: NVIDIA B200
# CC: cc100
# Model: Llama3.2-1B-FP8
# alg_count: 108, config_count: 108
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=10, repeat=20, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
16,3072,2048,108,108,31.623304,6.366,96,-1,0,31.607418,6.370,96,1,0,31.575689,6.376,58,1,0
16,2048,2048,108,108,21.045177,6.378,96,-1,0,21.029352,6.382,58,-1,0,21.018812,6.386,99,-1,0
16,16384,2048,108,108,127.802055,8.402,57,1,0,127.802055,8.402,96,1,0,127.486450,8.422,57,-1,0
16,2048,8192,108,108,51.416538,10.442,96,-1,0,51.392910,10.446,99,-1,0,51.392910,10.446,97,1,0
16,3072,2752,108,108,34.192696,7.912,55,2,0,33.823341,7.998,55,1,0,33.708710,8.026,55,4,0
16,2048,2752,108,108,23.676100,7.618,55,1,0,23.631430,7.632,55,-1,0,23.710964,7.606,55,2,0
16,16384,2752,108,108,169.379288,8.518,99,1,0,170.758438,8.450,99,2,0,168.745377,8.550,99,-1,0
16,2048,10944,108,108,57.403797,12.494,98,-1,0,57.367062,12.502,97,1,0,57.359726,12.504,58,1,0
16,3072,3072,108,108,39.093555,7.725,96,1,0,38.972473,7.749,96,2,0,38.153160,7.915,96,-1,0
16,2048,3072,108,108,26.329594,7.646,96,-1,0,26.479193,7.603,96,2,0,25.842909,7.790,96,1,0
16,16384,3072,108,108,175.954010,9.154,99,1,0,177.787537,9.059,57,4,0,173.677185,9.274,99,2,0
16,2048,12288,108,108,64.536034,12.478,100,1,0,64.469894,12.491,99,1,0,64.436882,12.498,99,-1,0
128,3072,2048,108,108,249.599060,6.453,96,1,0,249.104919,6.466,96,-1,0,250.033035,6.442,96,2,0
128,2048,2048,108,108,168.234818,6.382,96,2,0,166.028870,6.467,96,-1,0,165.905746,6.472,55,-1,0
128,16384,2048,108,108,1020.279175,8.419,15,1,0,1018.343811,8.435,12,-1,0,1016.608398,8.450,3,-1,0
128,2048,8192,108,108,411.269257,10.443,100,-1,0,411.206299,10.445,101,1,0,410.954437,10.451,96,-1,0
128,3072,2752,108,108,257.797394,8.395,101,1,0,257.748291,8.397,100,-1,0,257.699188,8.398,101,-1,0
128,2048,2752,108,108,171.766739,8.400,15,-1,0,171.734009,8.402,58,-1,0,171.668625,8.405,100,1,0
128,16384,2752,108,108,1113.990601,10.362,15,-1,0,1104.778442,10.448,0,-1,0,1104.609253,10.450,12,-1,0
128,2048,10944,108,108,459.347992,12.491,97,1,0,459.054016,12.499,100,-1,0,458.643036,12.510,100,1,0
128,3072,3072,108,108,288.378448,8.378,54,-1,0,287.390442,8.406,57,1,0,287.281097,8.410,1,-1,0
128,2048,3072,108,108,193.026459,8.344,96,-1,0,191.922394,8.392,97,-1,0,191.885818,8.394,59,-1,0
128,16384,3072,108,108,1494.352051,8.622,12,1,0,,,,,,,,,,
128,2048,12288,108,108,515.231201,12.504,100,-1,0,515.165283,12.506,100,1,0,514.967651,12.510,99,1,0
1024,3072,2048,108,108,1234.943115,10.434,67,1,0,1231.920410,10.459,14,-1,0,1231.920410,10.459,45,1,0
1024,2048,2048,108,108,1023.586060,8.392,12,1,0,1020.667114,8.416,0,-1,0,1020.667114,8.416,12,-1,0
1024,16384,2048,108,108,3221.789307,21.330,67,1,0,,,,,,,,,,
1024,2048,8192,108,108,2681.338135,12.814,14,1,0,,,,,,,,,,
1024,3072,2752,108,108,1468.291016,11.792,68,-1,0,1482.167358,11.682,68,4,0,1482.776611,11.677,68,8,0
1024,2048,2752,108,108,1273.693970,9.062,15,1,0,1267.205811,9.109,15,-1,0,,,,,
1024,16384,2752,108,108,3376.052979,27.352,45,1,0,,,,,,,,,,
1024,2048,10944,108,108,2764.143066,16.606,13,1,0,2755.911621,16.656,15,1,0,2755.646729,16.658,15,-1,0
1024,3072,3072,108,108,1546.089233,12.501,69,1,0,1545.693604,12.504,14,1,0,1545.495850,12.506,43,-1,0
1024,2048,3072,108,108,1314.356812,9.803,14,1,0,1289.521851,9.992,14,-1,0,1309.015625,9.843,12,4,0
1024,16384,3072,108,108,3600.945312,28.626,44,1,0,3589.108887,28.720,45,-1,0,3583.519531,28.765,71,-1,0
1024,2048,12288,108,108,3103.001221,16.610,12,1,0,3100.910156,16.621,14,1,0,3100.015137,16.626,14,-1,0
4096,3072,2048,108,108,2763.814453,18.648,46,1,0,2763.576904,18.650,44,1,0,2762.155518,18.659,43,-1,0
4096,2048,2048,108,108,2362.468262,14.544,45,-1,0,2361.429199,14.550,69,1,0,2361.169434,14.552,70,-1,0
4096,16384,2048,108,108,4193.177734,65.554,45,-1,0,4178.897949,65.778,46,1,0,4158.364746,66.102,46,-1,0
4096,2048,8192,108,108,4444.295898,30.925,43,-1,0,4443.835938,30.928,44,-1,0,4423.469238,31.070,69,1,0
4096,3072,2752,108,108,3322.986084,20.842,70,1,0,,,,,,,,,,
4096,2048,2752,108,108,2476.341797,18.645,43,-1,0,2474.643066,18.658,13,-1,0,2474.006348,18.662,45,1,0
4096,16384,2752,108,108,4183.207520,88.298,47,1,0,4170.586426,88.565,46,1,0,4168.930176,88.600,71,-1,0
4096,2048,10944,108,108,4247.710938,43.226,43,-1,0,4246.610352,43.237,46,1,0,4227.680664,43.430,46,-1,0
4096,3072,3072,108,108,3398.395264,22.749,68,-1,0,3397.200439,22.757,68,1,0,3396.483887,22.762,69,-1,0
4096,2048,3072,108,108,2851.651367,18.074,45,-1,0,2837.583984,18.163,69,-1,0,2838.584473,18.157,69,8,0
4096,16384,3072,108,108,4610.890137,89.422,46,1,0,4586.026855,89.907,46,-1,0,4576.091797,90.102,45,-1,0
4096,2048,12288,108,108,4635.856934,44.470,70,-1,0,4633.523438,44.493,70,1,0,4595.513672,44.861,69,-1,0
16384,3072,2048,108,108,3946.733887,52.235,71,1,0,3944.437988,52.266,71,-1,0,3943.593018,52.277,46,1,0
16384,2048,2048,108,108,3739.468994,36.754,45,-1,0,3728.432129,36.862,45,1,0,3710.554688,37.040,43,-1,0
16384,16384,2048,108,108,4522.714355,243.109,45,1,0,4442.658203,247.490,70,1,0,4468.396973,246.064,70,2,0
16384,2048,8192,108,108,5062.506836,108.594,71,-1,0,5046.224121,108.944,70,1,0,5037.051270,109.142,70,-1,0
16384,3072,2752,108,108,3986.114746,69.498,47,1,0,3982.904785,69.554,71,-1,0,4012.813477,69.035,71,2,0
16384,2048,2752,108,108,3715.907959,49.701,70,-1,0,3701.489258,49.894,45,-1,0,3691.899658,50.024,46,-1,0
16384,16384,2752,108,108,4421.652832,334.144,52,1,0,,,,,,,,,,
16384,2048,10944,108,108,4780.211914,153.642,70,-1,0,4788.739746,153.368,70,2,0,4738.465332,154.995,70,1,0
16384,3072,3072,108,108,4433.387695,69.752,71,1,0,4406.902344,70.171,71,-1,0,4368.454102,70.789,47,-1,0
16384,2048,3072,108,108,4191.029785,49.190,45,1,0,4184.768555,49.264,70,1,0,4184.224609,49.270,45,-1,0
16384,16384,3072,108,108,4889.998535,337.274,47,1,0,4850.193359,340.042,45,1,0,4844.016602,340.475,47,-1,0
16384,2048,12288,108,108,5227.883301,157.738,69,1,0,5204.128418,158.458,67,-1,0,5204.023926,158.461,67,1,0
