# GPU: NVIDIA B200
# CC: cc100
# Model: Qwen2.5-0.5B-INT8
# alg_count: 108, config_count: 108
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(1152, 896), (896, 896), (9728, 896), (896, 4864)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
16,1152,896,108,108,5.347591,6.177,96,-1,0,5.344545,6.180,57,-1,0,5.342332,6.183,96,1,0
16,896,896,108,108,4.159453,6.176,54,1,0,4.158807,6.177,57,1,0,4.153213,6.186,98,-1,0
16,9728,896,108,108,45.052402,6.191,96,1,0,45.040760,6.193,3,1,0,45.036106,6.193,54,1,0
16,896,4864,108,108,16.947866,8.229,96,-1,0,16.937328,8.234,59,-1,0,16.934696,8.235,99,-1,0
128,1152,896,108,108,42.723179,6.185,55,-1,0,42.718761,6.186,56,-1,0,42.718761,6.186,58,-1,0
128,896,896,108,108,33.254948,6.180,56,1,0,33.246342,6.182,54,1,0,33.241177,6.183,99,-1,0
128,9728,896,108,108,334.839386,6.664,15,1,0,332.698608,6.707,15,-1,0,333.797546,6.685,15,2,0
128,896,4864,108,108,135.472290,8.236,101,-1,0,135.472290,8.236,100,1,0,135.445999,8.237,98,-1,0
1024,1152,896,108,108,323.191254,6.541,13,1,0,321.242432,6.580,13,2,0,,,,,
1024,896,896,108,108,265.585785,6.191,56,1,0,265.544617,6.192,54,-1,0,265.544617,6.192,100,-1,0
1024,9728,896,108,108,1446.874390,12.338,14,1,0,1442.608765,12.374,16,-1,0,1441.565063,12.383,14,-1,0
1024,896,4864,108,108,984.995605,9.061,96,-1,0,980.977051,9.099,96,1,0,982.947693,9.080,96,4,0
4096,1152,896,108,108,991.263672,8.530,26,-1,0,981.834656,8.612,26,2,0,968.164490,8.734,26,1,0
4096,896,896,108,108,798.511475,8.236,4,1,0,798.480530,8.236,15,-1,0,798.232361,8.239,4,-1,0
4096,9728,896,108,108,2482.002197,28.769,71,1,0,2452.405029,29.116,71,-1,0,2447.536133,29.174,70,-1,0
4096,896,4864,108,108,2482.941162,14.379,71,1,0,2482.665039,14.380,45,-1,0,2482.388916,14.382,71,-1,0
16384,1152,896,108,108,1830.368408,18.479,80,1,0,1830.051636,18.482,79,-1,0,1829.734741,18.485,80,-1,0
16384,896,896,108,108,1601.191284,16.429,26,1,0,1601.035278,16.431,70,1,0,1601.035278,16.431,70,-1,0
16384,9728,896,108,108,2877.562500,99.256,47,1,0,,,,,,,,,,
16384,896,4864,108,108,3488.722656,40.934,70,1,0,3429.368164,41.643,47,-1,0,3430.607178,41.628,47,32,0
