# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: BitNet-2B4T-FP8E4M3
# alg_count: 4, config_count: 4
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 256, 1024]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,sk1,ws1,tops2,lat_us2,id2,sk2,ws2,tops3,lat_us3,id3,sk3,ws3
16,3840,2560,4,4,25.592001,12.292,2,1,0,25.584009,12.296,2,-1,0,25.517599,12.328,3,1,0
16,2560,2560,4,4,17.258575,12.151,3,2,0,17.074226,12.283,2,-1,0,17.053345,12.298,2,1,0
16,13824,2560,4,4,42.537941,26.622,2,-1,0,42.536404,26.623,2,1,0,42.533848,26.625,2,2,0
16,2560,6912,4,4,30.654009,18.472,3,-1,655680,30.526560,18.549,3,1,655680,31.019424,18.254,3,4,0
256,3840,2560,4,4,245.729294,20.483,0,1,0,245.307724,20.518,0,-1,0,245.794571,20.477,0,2,0
256,2560,2560,4,4,265.953766,12.617,2,1,0,265.637146,12.632,2,-1,0,265.744843,12.627,2,2,0
256,13824,2560,4,4,333.112366,54.394,2,1,0,332.420074,54.508,2,-1,0,330.213928,54.872,0,1,0
256,2560,6912,4,4,330.294830,27.429,2,1,0,330.167725,27.440,2,-1,0,332.916504,27.213,2,2,0
1024,3840,2560,4,4,364.278625,55.267,0,1,0,364.036224,55.304,2,1,0,364.025696,55.306,2,-1,0
1024,2560,2560,4,4,344.903625,38.915,0,-1,0,344.858246,38.920,2,-1,0,344.849731,38.921,2,1,0
1024,13824,2560,4,4,399.659851,181.348,2,1,0,397.403931,182.378,2,-1,0,399.026855,181.636,2,2,0
1024,2560,6912,4,4,392.651550,92.292,0,-1,0,392.549469,92.316,0,1,0,392.073761,92.428,0,2,0
