# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: BitNet-2B4T-INT8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 256, 1024]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,sk1,ws1,tops2,lat_us2,id2,sk2,ws2,tops3,lat_us3,id3,sk3,ws3
16,3840,2560,2,2,38.293797,8.215,1,1,1228800,,,,,,,,,,
16,2560,2560,2,2,25.587006,8.196,1,1,819200,,,,,,,,,,
16,13824,2560,2,2,78.844696,14.363,1,1,4423680,,,,,,,,,,
16,2560,6912,2,2,34.468441,16.428,1,1,2211840,,,,,,,,,,
256,3840,2560,2,2,408.812164,12.312,0,1,1228800,,,,,,,,,,
256,2560,2560,2,2,326.995331,10.261,1,1,819200,,,,,,,,,,
256,13824,2560,2,2,519.106567,34.905,0,1,4423680,,,,,,,,,,
256,2560,6912,2,2,402.089905,22.532,1,1,2211840,,,,,,,,,,
1024,3840,2560,2,2,546.959473,36.808,0,1,1228800,,,,,,,,,,
1024,2560,2560,2,2,543.881287,24.678,0,1,819200,,,,,,,,,,
1024,13824,2560,2,2,590.006836,122.842,0,1,4423680,,,,,,,,,,
1024,2560,6912,2,2,610.692444,59.340,0,1,2211840,,,,,,,,,,
