# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-3B-INT8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: int32, warmup=25, repeat=100, verify=False
# M_list: [16, 256, 1024]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,sk1,ws1,tops2,lat_us2,id2,sk2,ws2,tops3,lat_us3,id3,sk3,ws3
16,3840,2560,2,2,38.350567,8.203,0,1,1228800,,,,,,,,,,
16,2560,2560,2,2,25.573027,8.201,0,1,819200,,,,,,,,,,
16,13824,2560,2,2,78.846451,14.363,0,1,4423680,,,,,,,,,,
16,2560,6912,2,2,34.515511,16.405,0,1,2211840,,,,,,,,,,
256,3840,2560,2,2,350.577057,14.357,1,1,1228800,,,,,,,,,,
256,2560,2560,2,2,317.577057,10.566,0,1,819200,,,,,,,,,,
256,13824,2560,2,2,441.898468,41.004,1,1,4423680,,,,,,,,,,
256,2560,6912,2,2,401.770355,22.549,0,1,2211840,,,,,,,,,,
1024,3840,2560,2,2,468.295441,42.991,1,1,1228800,,,,,,,,,,
1024,2560,2560,2,2,437.782227,30.659,1,1,819200,,,,,,,,,,
1024,13824,2560,2,2,527.836182,137.311,1,1,4423680,,,,,,,,,,
1024,2560,6912,2,2,585.203308,61.925,1,1,2211840,,,,,,,,,,
