# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=100, verify=True
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
16,3072,2048,2,2,32.667614,6.163,1,1,786432,,,,,,,,,,
16,2048,2048,2,2,21.771629,6.165,1,1,524288,,,,,,,,,,
16,16384,2048,2,2,87.201935,12.313,1,1,4194304,,,,,,,,,,
16,2048,8192,2,2,29.086206,18.458,1,1,2097152,,,,,,,,,,
16,3072,2752,2,2,32.939075,8.213,1,1,1081344,,,,,,,,,,
16,2048,2752,2,2,21.946558,8.218,1,1,720896,,,,,,,,,,
16,16384,2752,2,2,87.678696,16.456,1,1,5767168,,,,,,,,,,
16,2048,10944,2,2,29.157043,24.599,1,1,2818048,,,,,,,,,,
16,3072,3072,2,2,36.740578,8.220,1,1,1179648,,,,,,,,,,
16,2048,3072,2,2,24.512802,8.213,1,1,786432,,,,,,,,,,
16,16384,3072,2,2,98.164040,16.407,1,1,6291456,,,,,,,,,,
16,2048,12288,2,2,30.218330,26.650,1,1,3145728,,,,,,,,,,
16,3072,3296,2,2,31.570568,10.263,1,1,1277952,,,,,,,,,,
16,2048,3296,2,2,21.034582,10.269,1,1,851968,,,,,,,,,,
16,16384,3296,2,2,84.374962,20.481,1,1,6815744,,,,,,,,,,
16,2048,13120,2,2,29.958479,28.701,1,1,3375104,,,,,,,,,,
128,3072,2048,2,2,196.538910,8.195,1,1,786432,,,,,,,,,,
128,2048,2048,2,2,130.979904,8.198,1,1,524288,,,,,,,,,,
128,16384,2048,2,2,419.253571,20.489,0,1,4194304,,,,,,,,,,
128,2048,8192,2,2,215.027023,19.974,1,1,2097152,,,,,,,,,,
128,3072,2752,2,2,263.461304,8.215,1,1,1081344,,,,,,,,,,
128,2048,2752,2,2,175.818939,8.206,1,1,720896,,,,,,,,,,
128,16384,2752,2,2,433.426056,26.631,0,1,5767168,,,,,,,,,,
128,2048,10944,2,2,233.250320,24.599,1,1,2818048,,,,,,,,,,
128,3072,3072,2,2,235.767517,10.247,1,1,1179648,,,,,,,,,,
128,2048,3072,2,2,157.212708,10.245,1,1,786432,,,,,,,,,,
128,16384,3072,2,2,442.427460,29.123,0,1,6291456,,,,,,,,,,
128,2048,12288,2,2,241.236801,26.706,1,1,3145728,,,,,,,,,,
128,3072,3296,2,2,252.501572,10.266,1,1,1277952,,,,,,,,,,
128,2048,3296,2,2,168.177109,10.275,1,1,851968,,,,,,,,,,
128,16384,3296,2,2,421.888031,32.768,0,1,6815744,,,,,,,,,,
128,2048,13120,2,2,239.731979,28.693,1,1,3375104,,,,,,,,,,
1024,3072,2048,2,2,448.788666,28.710,0,1,786432,,,,,,,,,,
1024,2048,2048,2,2,418.965607,20.503,0,1,524288,,,,,,,,,,
1024,16384,2048,2,2,573.580017,119.808,0,1,4194304,,,,,,,,,,
1024,2048,8192,2,2,540.165894,63.610,0,1,2097152,,,,,,,,,,
1024,3072,2752,2,2,469.377228,36.887,0,1,1081344,,,,,,,,,,
1024,2048,2752,2,2,455.989075,25.314,0,1,720896,,,,,,,,,,
1024,16384,2752,2,2,593.245239,155.655,0,1,5767168,,,,,,,,,,
1024,2048,10944,2,2,543.775269,84.414,0,1,2818048,,,,,,,,,,
1024,3072,3072,2,2,471.571808,40.985,0,1,1179648,,,,,,,,,,
1024,2048,3072,2,2,467.940216,27.535,0,1,786432,,,,,,,,,,
1024,16384,3072,2,2,591.949890,174.135,0,1,6291456,,,,,,,,,,
1024,2048,12288,2,2,526.483398,97.894,0,1,3145728,,,,,,,,,,
1024,3072,3296,2,2,438.951691,47.241,0,1,1277952,,,,,,,,,,
1024,2048,3296,2,2,422.891541,32.690,0,1,851968,,,,,,,,,,
1024,16384,3296,2,2,530.444580,208.496,0,1,6815744,,,,,,,,,,
1024,2048,13120,2,2,532.099182,103.419,0,1,3375104,,,,,,,,,,
4096,3072,2048,2,2,559.075439,92.187,0,1,786432,,,,,,,,,,
4096,2048,2048,2,2,527.686523,65.114,0,1,524288,,,,,,,,,,
4096,16384,2048,2,2,595.648376,461.477,0,1,4194304,,,,,,,,,,
4096,2048,8192,2,2,614.628296,223.613,0,1,2097152,,,,,,,,,,
4096,3072,2752,2,2,580.406616,119.324,0,1,1081344,,,,,,,,,,
4096,2048,2752,2,2,563.114746,81.992,0,1,720896,,,,,,,,,,
4096,16384,2752,2,2,612.740417,602.812,0,1,5767168,,,,,,,,,,
4096,2048,10944,2,2,602.364136,304.815,0,1,2818048,,,,,,,,,,
4096,3072,3072,2,2,589.181030,131.215,0,1,1179648,,,,,,,,,,
4096,2048,3072,2,2,560.609009,91.935,0,1,786432,,,,,,,,,,
4096,16384,3072,2,2,613.168213,672.437,0,1,6291456,,,,,,,,,,
4096,2048,12288,2,2,595.531799,346.175,0,1,3145728,,,,,,,,,,
4096,3072,3296,2,2,536.316040,154.660,0,1,1277952,,,,,,,,,,
4096,2048,3296,2,2,512.079468,107.987,0,1,851968,,,,,,,,,,
4096,16384,3296,2,2,560.662354,789.034,0,1,6815744,,,,,,,,,,
4096,2048,13120,2,2,600.305847,366.675,0,1,3375104,,,,,,,,,,
16384,3072,2048,2,2,600.096558,343.542,0,1,786432,,,,,,,,,,
16384,2048,2048,2,2,582.886108,235.790,0,1,524288,,,,,,,,,,
16384,16384,2048,2,2,577.124023,1905.157,0,1,4194304,,,,,,,,,,
16384,2048,8192,2,2,645.149353,852.137,0,1,2097152,,,,,,,,,,
16384,3072,2752,2,2,614.251282,450.997,0,1,1081344,,,,,,,,,,
16384,2048,2752,2,2,600.336182,307.634,0,1,720896,,,,,,,,,,
16384,16384,2752,2,2,589.753479,2505.231,0,1,5767168,,,,,,,,,,
16384,2048,10944,2,2,638.630127,1150.023,0,1,2818048,,,,,,,,,,
16384,3072,3072,2,2,622.606628,496.682,0,1,1179648,,,,,,,,,,
16384,2048,3072,2,2,608.311523,338.903,0,1,786432,,,,,,,,,,
16384,16384,3072,2,2,602.576355,2737.026,0,1,6291456,,,,,,,,,,
16384,2048,12288,2,2,625.008911,1319.395,0,1,3145728,,,,,,,,,,
16384,3072,3296,2,2,561.103333,591.310,0,1,1277952,,,,,,,,,,
16384,2048,3296,2,2,560.539368,394.604,0,1,851968,,,,,,,,,,
16384,16384,3296,2,2,550.418945,3214.872,0,1,6815744,,,,,,,,,,
16384,2048,13120,2,2,643.798340,1367.615,0,1,3375104,,,,,,,,,,
