# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 4, config_count: 4
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: fp32, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,sk1,ws1,tops2,lat_us2,id2,sk2,ws2,tops3,lat_us3,id3,sk3,ws3
16,3072,2048,4,4,19.665100,10.238,0,-1,0,19.637482,10.252,0,1,0,19.543541,10.301,1,1,0
16,2048,2048,4,4,13.097378,10.248,0,1,0,13.078181,10.263,0,-1,0,13.074105,10.266,1,-1,0
16,16384,2048,4,4,47.636833,22.540,0,-1,0,47.561207,22.576,0,1,0,47.649010,22.534,0,2,0
16,2048,8192,4,4,35.819668,14.988,1,-1,2097344,35.181950,15.260,1,1,2097344,35.078232,15.305,1,2,2097344
128,3072,2048,4,4,157.001846,10.259,0,1,0,156.923508,10.264,0,-1,0,156.635361,10.283,1,-1,0
128,2048,2048,4,4,104.759384,10.250,0,1,0,104.723442,10.253,1,1,0,104.589584,10.266,1,-1,0
128,16384,2048,4,4,262.149109,32.767,0,-1,0,261.970032,32.790,0,1,0,261.890808,32.800,1,-1,0
128,2048,8192,4,4,209.508987,20.500,1,2,0,,,,,,,,,,
1024,3072,2048,4,4,314.479401,40.972,0,-1,0,314.280609,40.998,1,-1,0,314.045319,41.029,1,1,0
1024,2048,2048,4,4,262.126068,32.770,0,1,0,261.947021,32.793,0,-1,0,261.944489,32.793,1,1,0
1024,16384,2048,4,4,365.755127,187.884,0,1,0,365.715271,187.904,0,-1,0,364.689880,188.433,1,1,0
1024,2048,8192,4,4,355.370667,96.687,1,1,0,355.062775,96.771,1,-1,2884416,355.643768,96.613,1,2,2884416
4096,3072,2048,4,4,366.109100,140.777,0,1,0,365.896973,140.858,0,-1,0,365.706757,140.932,0,2,0
4096,2048,2048,4,4,356.022278,96.510,0,1,0,354.799988,96.843,0,-1,0,352.633850,97.437,0,2,0
4096,16384,2048,4,4,363.996490,755.166,0,-1,0,360.081635,763.377,3,1,0,358.070557,767.664,3,-1,0
4096,2048,8192,4,4,404.139038,340.078,1,1,0,397.235657,345.988,0,1,0,,,,,
16384,3072,2048,4,4,362.975037,567.969,0,-1,0,357.678467,576.379,3,1,0,355.350464,580.155,3,-1,0
16384,2048,2048,4,4,367.607147,373.875,0,-1,0,,,,,,,,,,
16384,16384,2048,4,4,359.046021,3062.314,3,1,0,357.887634,3072.226,3,-1,0,358.053955,3070.799,3,2,0
16384,2048,8192,4,4,404.483765,1359.154,1,1,0,,,,,,,,,,
