# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8-INT8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,sk1,ws1,tops2,lat_us2,id2,sk2,ws2,tops3,lat_us3,id3,sk3,ws3
16,3072,2048,2,2,32.593151,6.177,1,1,786432,,,,,,,,,,
16,2048,2048,2,2,21.763720,6.167,1,1,524288,,,,,,,,,,
16,16384,2048,2,2,87.206467,12.313,1,1,4194304,,,,,,,,,,
16,2048,8192,2,2,29.096298,18.452,1,1,2097152,,,,,,,,,,
128,3072,2048,2,2,196.500549,8.196,1,1,786432,,,,,,,,,,
128,2048,2048,2,2,130.964569,8.199,1,1,524288,,,,,,,,,,
128,16384,2048,2,2,419.233887,20.490,0,1,4194304,,,,,,,,,,
128,2048,8192,2,2,226.615768,18.953,1,1,2097152,,,,,,,,,,
1024,3072,2048,2,2,448.323914,28.740,0,1,786432,,,,,,,,,,
1024,2048,2048,2,2,418.919830,20.505,0,1,524288,,,,,,,,,,
1024,16384,2048,2,2,575.989258,119.307,0,1,4194304,,,,,,,,,,
1024,2048,8192,2,2,541.143250,63.495,0,1,2097152,,,,,,,,,,
4096,3072,2048,2,2,559.407593,92.132,0,1,786432,,,,,,,,,,
4096,2048,2048,2,2,527.391052,65.150,0,1,524288,,,,,,,,,,
4096,16384,2048,2,2,600.996887,457.370,0,1,4194304,,,,,,,,,,
4096,2048,8192,2,2,614.426941,223.686,0,1,2097152,,,,,,,,,,
16384,3072,2048,2,2,600.556946,343.279,0,1,786432,,,,,,,,,,
16384,2048,2048,2,2,585.056885,234.916,0,1,524288,,,,,,,,,,
16384,16384,2048,2,2,576.669250,1906.659,0,1,4194304,,,,,,,,,,
16384,2048,8192,2,2,641.971252,856.356,0,1,2097152,,,,,,,,,,
