# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,alg_count,config_count,tops1,lat_us1,id1,sk1,ws1,tops2,lat_us2,id2,sk2,ws2,tops3,lat_us3,id3,sk3,ws3
16,3072,2048,2,2,32.603283,6.175,1,1,786432,,,,,,,,,,
16,2048,2048,2,2,21.765980,6.166,1,1,524288,,,,,,,,,,
16,16384,2048,2,2,87.206467,12.313,1,1,4194304,,,,,,,,,,
16,2048,8192,2,2,29.081671,18.461,1,1,2097152,,,,,,,,,,
16,3072,2752,2,2,32.927532,8.216,1,1,1081344,,,,,,,,,,
16,2048,2752,2,2,21.952543,8.216,1,1,720896,,,,,,,,,,
16,16384,2752,2,2,88.050240,16.387,1,1,5767168,,,,,,,,,,
16,2048,10944,2,2,29.161219,24.595,1,1,2818048,,,,,,,,,,
16,3072,3072,2,2,29.472780,10.246,1,1,1179648,,,,,,,,,,
16,2048,3072,2,2,24.509939,8.214,1,1,786432,,,,,,,,,,
16,16384,3072,2,2,98.167877,16.407,1,1,6291456,,,,,,,,,,
16,2048,12288,2,2,30.218330,26.650,1,1,3145728,,,,,,,,,,
16,3072,3296,2,2,31.636656,10.242,1,1,1277952,,,,,,,,,,
16,2048,3296,2,2,21.047699,10.263,1,1,851968,,,,,,,,,,
16,16384,3296,2,2,84.331482,20.491,1,1,6815744,,,,,,,,,,
16,2048,13120,2,2,27.970976,30.740,1,1,3375104,,,,,,,,,,
128,3072,2048,2,2,196.523544,8.196,1,1,786432,,,,,,,,,,
128,2048,2048,2,2,130.770615,8.211,1,1,524288,,,,,,,,,,
128,16384,2048,2,2,419.240417,20.489,0,1,4194304,,,,,,,,,,
128,2048,8192,2,2,216.885986,19.803,1,1,2097152,,,,,,,,,,
128,3072,2752,2,2,263.522888,8.213,1,1,1081344,,,,,,,,,,
128,2048,2752,2,2,175.572464,8.218,1,1,720896,,,,,,,,,,
128,16384,2752,2,2,433.056580,26.654,0,1,5767168,,,,,,,,,,
128,2048,10944,2,2,233.229065,24.602,1,1,2818048,,,,,,,,,,
128,3072,3072,2,2,235.833801,10.244,1,1,1179648,,,,,,,,,,
128,2048,3072,2,2,157.158707,10.248,1,1,786432,,,,,,,,,,
128,16384,3072,2,2,447.919983,28.766,0,1,6291456,,,,,,,,,,
128,2048,12288,2,2,241.726303,26.652,1,1,3145728,,,,,,,,,,
128,3072,3296,2,2,252.903610,10.249,1,1,1277952,,,,,,,,,,
128,2048,3296,2,2,168.392105,10.262,1,1,851968,,,,,,,,,,
128,16384,3296,2,2,421.826202,32.773,0,1,6815744,,,,,,,,,,
128,2048,13120,2,2,239.707916,28.696,1,1,3375104,,,,,,,,,,
1024,3072,2048,2,2,448.353912,28.738,0,1,786432,,,,,,,,,,
1024,2048,2048,2,2,418.932953,20.504,0,1,524288,,,,,,,,,,
1024,16384,2048,2,2,578.027893,118.886,0,1,4194304,,,,,,,,,,
1024,2048,8192,2,2,540.827026,63.532,0,1,2097152,,,,,,,,,,
1024,3072,2752,2,2,469.116760,36.908,0,1,1081344,,,,,,,,,,
1024,2048,2752,2,2,463.054413,24.927,0,1,720896,,,,,,,,,,
1024,16384,2752,2,2,596.487488,154.809,0,1,5767168,,,,,,,,,,
1024,2048,10944,2,2,547.973389,83.768,0,1,2818048,,,,,,,,,,
1024,3072,3072,2,2,471.524017,40.989,0,1,1179648,,,,,,,,,,
1024,2048,3072,2,2,474.446442,27.158,0,1,786432,,,,,,,,,,
1024,16384,3072,2,2,599.329041,171.991,0,1,6291456,,,,,,,,,,
1024,2048,12288,2,2,542.049316,95.083,0,1,3145728,,,,,,,,,,
1024,3072,3296,2,2,439.148010,47.220,0,1,1277952,,,,,,,,,,
1024,2048,3296,2,2,412.766022,33.492,0,1,851968,,,,,,,,,,
1024,16384,3296,2,2,537.386841,205.802,0,1,6815744,,,,,,,,,,
1024,2048,13120,2,2,538.312073,102.226,0,1,3375104,,,,,,,,,,
4096,3072,2048,2,2,560.018311,92.032,0,1,786432,,,,,,,,,,
4096,2048,2048,2,2,531.555359,64.640,0,1,524288,,,,,,,,,,
4096,16384,2048,2,2,603.537659,455.444,0,1,4194304,,,,,,,,,,
4096,2048,8192,2,2,615.282532,223.375,0,1,2097152,,,,,,,,,,
4096,3072,2752,2,2,582.413696,118.913,0,1,1081344,,,,,,,,,,
4096,2048,2752,2,2,563.250977,81.972,0,1,720896,,,,,,,,,,
4096,16384,2752,2,2,612.576538,602.973,0,1,5767168,,,,,,,,,,
4096,2048,10944,2,2,604.550537,303.713,0,1,2818048,,,,,,,,,,
4096,3072,3072,2,2,589.609558,131.120,0,1,1179648,,,,,,,,,,
4096,2048,3072,2,2,561.443420,91.798,0,1,786432,,,,,,,,,,
4096,16384,3072,2,2,610.523743,675.349,0,1,6291456,,,,,,,,,,
4096,2048,12288,2,2,595.444214,346.226,0,1,3145728,,,,,,,,,,
4096,3072,3296,2,2,539.479431,153.753,0,1,1277952,,,,,,,,,,
4096,2048,3296,2,2,515.051147,107.364,0,1,851968,,,,,,,,,,
4096,16384,3296,2,2,558.117126,792.632,0,1,6815744,,,,,,,,,,
4096,2048,13120,2,2,603.630432,364.655,0,1,3375104,,,,,,,,,,
16384,3072,2048,2,2,604.192017,341.213,0,1,786432,,,,,,,,,,
16384,2048,2048,2,2,589.043213,233.326,0,1,524288,,,,,,,,,,
16384,16384,2048,2,2,580.491455,1894.105,0,1,4194304,,,,,,,,,,
16384,2048,8192,2,2,644.200806,853.392,0,1,2097152,,,,,,,,,,
16384,3072,2752,2,2,614.264038,450.987,0,1,1081344,,,,,,,,,,
16384,2048,2752,2,2,604.564758,305.482,0,1,720896,,,,,,,,,,
16384,16384,2752,2,2,592.043274,2495.542,0,1,5767168,,,,,,,,,,
