# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: BitNet-2B4T-FP8E4M3
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 256, 1024]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,best_split_k,workspace
16,2560,2560,NN_RC_Col,17.058226,12.294,2,1,0
16,2560,2560,NN_RC_Row,17.068890,12.286,2,2,0
16,2560,2560,NT_RR_Col,17.059561,12.293,2,2,0
16,2560,2560,NT_RR_Row,17.058672,12.294,2,2,0
16,2560,2560,TN_CC_Col,17.067554,12.287,2,2,0
16,2560,2560,TN_CC_Row,17.070665,12.285,2,2,0
16,2560,2560,TT_CR_Col,17.060003,12.293,2,2,0
16,2560,2560,TT_CR_Row,17.068890,12.286,2,-1,0
16,2560,6912,NN_RC_Col,30.589886,18.510,3,1,655680
16,2560,6912,NN_RC_Row,30.569805,18.523,3,1,655680
16,2560,6912,NT_RR_Col,30.654009,18.472,3,-1,655680
16,2560,6912,NT_RR_Row,30.580372,18.516,3,1,655680
16,2560,6912,TN_CC_Col,30.443577,18.599,3,1,655680
16,2560,6912,TN_CC_Row,30.581429,18.516,3,-1,655680
16,2560,6912,TT_CR_Col,30.646576,18.476,3,-1,655680
16,2560,6912,TT_CR_Row,30.512346,18.557,3,2,655680
16,3840,2560,NN_RC_Col,25.584675,12.295,2,1,0
16,3840,2560,NN_RC_Row,25.590004,12.293,2,1,0
16,3840,2560,NT_RR_Col,25.586676,12.294,2,-1,0
16,3840,2560,NT_RR_Row,25.592669,12.292,2,2,0
16,3840,2560,TN_CC_Col,25.598667,12.289,2,-1,0
16,3840,2560,TN_CC_Row,25.598001,12.289,2,2,0
16,3840,2560,TT_CR_Col,25.604670,12.286,2,-1,0
16,3840,2560,TT_CR_Row,25.593336,12.291,2,-1,0
16,13824,2560,NN_RC_Col,42.538452,26.622,2,2,0
16,13824,2560,NN_RC_Row,42.533340,26.625,2,1,0
16,13824,2560,NT_RR_Col,42.565056,26.605,2,2,0
16,13824,2560,NT_RR_Row,42.540497,26.621,2,1,0
16,13824,2560,TN_CC_Col,42.574276,26.600,2,1,0
16,13824,2560,TN_CC_Row,42.532314,26.626,2,1,0
16,13824,2560,TT_CR_Col,42.540497,26.621,2,1,0
16,13824,2560,TT_CR_Row,42.533340,26.625,2,2,0
256,2560,2560,NN_RC_Col,261.555481,12.829,2,2,0
256,2560,2560,NN_RC_Row,257.426666,13.035,2,-1,0
256,2560,2560,NT_RR_Col,259.947449,12.908,2,1,0
256,2560,2560,NT_RR_Row,259.432922,12.934,2,1,0
