# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: BitNet-2B4T-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: int8, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [16, 256, 1024]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,best_split_k,workspace
16,2560,2560,NN_RC_Col,25.520250,8.218,1,1,819200
16,2560,2560,NN_RC_Row,25.428160,8.247,0,1,819200
16,2560,2560,NT_RR_Col,25.522238,8.217,1,1,819200
16,2560,2560,NT_RR_Row,25.520250,8.218,0,1,819200
16,2560,2560,TN_CC_Col,25.560064,8.205,1,1,819200
16,2560,2560,TN_CC_Row,25.579018,8.199,0,1,819200
16,2560,2560,TT_CR_Col,25.513294,8.220,1,1,819200
16,2560,2560,TT_CR_Row,25.577021,8.199,0,1,819200
16,2560,6912,NN_RC_Col,34.540436,16.393,1,1,2211840
16,2560,6912,NN_RC_Row,39.423225,14.363,0,1,2211840
16,2560,6912,NT_RR_Col,34.537064,16.395,1,1,2211840
16,2560,6912,NT_RR_Row,39.422348,14.363,0,1,2211840
16,2560,6912,TN_CC_Col,34.474487,16.425,1,1,2211840
16,2560,6912,TN_CC_Row,39.423225,14.363,0,1,2211840
16,2560,6912,TT_CR_Col,34.515511,16.405,1,1,2211840
16,2560,6912,TT_CR_Row,39.423225,14.363,0,1,2211840
16,3840,2560,NN_RC_Col,38.281868,8.217,1,1,1228800
16,3840,2560,NN_RC_Row,38.377514,8.197,0,1,1228800
16,3840,2560,NT_RR_Col,38.338596,8.205,1,1,1228800
16,3840,2560,NT_RR_Row,38.284843,8.217,0,1,1228800
16,3840,2560,TN_CC_Col,38.216385,8.231,1,1,1228800
16,3840,2560,TN_CC_Row,38.287827,8.216,0,1,1228800
16,3840,2560,TT_CR_Col,38.304241,8.212,1,1,1228800
16,3840,2560,TT_CR_Row,38.367027,8.199,0,1,1228800
16,13824,2560,NN_RC_Col,78.879837,14.357,1,1,4423680
16,13824,2560,NN_RC_Row,78.955513,14.343,0,1,4423680
16,13824,2560,NT_RR_Col,78.944939,14.345,1,1,4423680
16,13824,2560,NT_RR_Row,78.948463,14.344,0,1,4423680
16,13824,2560,TN_CC_Col,78.760468,14.379,1,1,4423680
16,13824,2560,TN_CC_Row,78.844696,14.363,0,1,4423680
16,13824,2560,TT_CR_Col,78.929100,14.348,1,1,4423680
16,13824,2560,TT_CR_Row,78.939659,14.346,0,1,4423680
256,2560,2560,NN_RC_Col,326.944397,10.263,1,1,819200
256,2560,2560,NN_RC_Row,327.311768,10.252,0,1,819200
256,2560,2560,NT_RR_Col,327.270905,10.253,1,1,819200
256,2560,2560,NT_RR_Row,327.270905,10.253,0,1,819200
256,2560,2560,TN_CC_Col,326.313568,10.283,1,1,819200
256,2560,2560,TN_CC_Row,327.036163,10.260,0,1,819200
256,2560,2560,TT_CR_Col,327.393555,10.249,1,1,819200
256,2560,2560,TT_CR_Row,326.913788,10.264,0,1,819200
256,2560,6912,NN_RC_Col,401.616455,22.558,1,1,2211840
256,2560,6912,NN_RC_Row,401.605042,22.559,0,1,2211840
256,2560,6912,NT_RR_Col,401.616455,22.558,1,1,2211840
256,2560,6912,NT_RR_Row,401.810303,22.547,0,1,2211840
256,2560,6912,TN_CC_Col,401.286285,22.577,1,1,2211840
256,2560,6912,TN_CC_Row,402.112732,22.530,0,1,2211840
256,2560,6912,TT_CR_Col,401.793121,22.548,1,1,2211840
256,2560,6912,TT_CR_Row,402.106995,22.531,0,1,2211840
256,3840,2560,NN_RC_Col,409.248322,12.299,0,1,1228800
256,3840,2560,NN_RC_Row,408.865295,12.310,1,1,1228800
256,3840,2560,NT_RR_Col,408.621002,12.317,0,1,1228800
256,3840,2560,NT_RR_Row,408.854706,12.310,1,1,1228800
256,3840,2560,TN_CC_Col,408.705933,12.315,0,1,1228800
256,3840,2560,TN_CC_Row,408.929077,12.308,1,1,1228800
256,3840,2560,TT_CR_Col,408.907837,12.309,0,1,1228800
256,3840,2560,TT_CR_Row,408.875977,12.310,1,1,1228800
256,13824,2560,NN_RC_Col,518.303467,34.959,0,1,4423680
256,13824,2560,NN_RC_Row,515.890442,35.123,1,1,4423680
256,13824,2560,NT_RR_Col,517.276001,35.028,0,1,4423680
256,13824,2560,NT_RR_Row,516.808594,35.060,1,1,4423680
256,13824,2560,TN_CC_Col,517.181519,35.035,0,1,4423680
256,13824,2560,TN_CC_Row,515.608643,35.142,1,1,4423680
256,13824,2560,TT_CR_Col,515.895203,35.122,0,1,4423680
256,13824,2560,TT_CR_Row,517.157898,35.036,1,1,4423680
1024,2560,2560,NN_RC_Col,544.248352,24.661,0,1,819200
1024,2560,2560,NN_RC_Row,527.048401,25.466,1,1,819200
1024,2560,2560,NT_RR_Col,545.401917,24.609,0,1,819200
1024,2560,2560,NT_RR_Row,524.432251,25.593,1,1,819200
1024,2560,2560,TN_CC_Col,545.097107,24.623,0,1,819200
1024,2560,2560,TN_CC_Row,525.470276,25.542,1,1,819200
1024,2560,2560,TT_CR_Col,544.665283,24.642,0,1,819200
1024,2560,2560,TT_CR_Row,526.274719,25.503,1,1,819200
1024,2560,6912,NN_RC_Col,610.452148,59.364,0,1,2211840
1024,2560,6912,NN_RC_Row,610.412720,59.368,1,1,2211840
1024,2560,6912,NT_RR_Col,610.758423,59.334,0,1,2211840
