# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Qwen2.5-14B-FP8E4M3
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: fp8e4m3, outdtype: bf16, warmup=5, repeat=10, verify=False
# M_list: [16, 256]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,best_split_k,workspace
16,2560,2560,NN_RC_Col,17.093374,12.269,2,-1,0
16,2560,2560,NN_RC_Row,17.009085,12.330,2,2,0
16,2560,2560,NT_RR_Col,17.080009,12.278,2,2,0
16,2560,2560,NT_RR_Row,17.115696,12.253,2,2,0
16,2560,2560,TN_CC_Col,17.053345,12.298,2,1,0
16,2560,2560,TN_CC_Row,17.000259,12.336,2,1,0
16,2560,2560,TT_CR_Col,17.075562,12.282,2,-1,0
16,2560,2560,TT_CR_Row,17.000259,12.336,2,-1,0
16,2560,6912,NN_RC_Col,27.643681,20.483,3,2,655680
16,2560,6912,NN_RC_Row,27.626417,20.496,3,1,655680
16,2560,6912,NT_RR_Col,27.635048,20.490,3,1,655680
16,2560,6912,NT_RR_Row,27.652319,20.477,3,2,655680
16,2560,6912,TN_CC_Col,27.648001,20.480,3,2,655680
16,2560,6912,TN_CC_Row,27.669617,20.464,3,8,655680
16,2560,6912,TT_CR_Col,27.617794,20.502,3,-1,655680
16,2560,6912,TT_CR_Row,27.635048,20.490,3,-1,655680
16,3840,2560,NN_RC_Col,25.362228,12.403,2,1,0
16,3840,2560,NN_RC_Row,25.513626,12.330,2,2,0
16,3840,2560,NT_RR_Col,25.329554,12.419,2,2,0
16,3840,2560,NT_RR_Row,25.507006,12.333,2,1,0
16,3840,2560,TN_CC_Col,25.533506,12.320,2,-1,0
16,3840,2560,TN_CC_Row,25.154554,12.506,2,1,0
16,3840,2560,TT_CR_Col,25.154554,12.506,2,1,0
16,3840,2560,TT_CR_Row,25.507006,12.333,2,2,0
16,13824,2560,NN_RC_Col,42.423206,26.694,2,1,0
16,13824,2560,NN_RC_Row,42.387638,26.717,2,2,0
16,13824,2560,NT_RR_Col,42.392712,26.714,2,-1,0
16,13824,2560,NT_RR_Row,42.382568,26.720,2,2,0
16,13824,2560,TN_CC_Col,42.387638,26.717,2,-1,0
16,13824,2560,TN_CC_Row,42.402878,26.707,2,2,0
16,13824,2560,TT_CR_Col,42.357197,26.736,2,2,0
16,13824,2560,TT_CR_Row,42.347065,26.742,2,-1,0
256,2560,2560,NN_RC_Col,233.587891,14.365,2,-1,0
256,2560,2560,NN_RC_Row,233.224213,14.387,2,2,0
256,2560,2560,NT_RR_Col,232.965118,14.403,2,2,0
256,2560,2560,NT_RR_Row,234.109406,14.333,2,-1,0
256,2560,2560,TN_CC_Col,233.276093,14.384,2,2,0
256,2560,2560,TN_CC_Row,234.161667,14.330,2,2,0
256,2560,2560,TT_CR_Col,234.004913,14.339,2,-1,0
256,2560,2560,TT_CR_Row,234.109406,14.333,2,2,0
256,2560,6912,NN_RC_Col,301.925476,30.006,2,1,0
256,2560,6912,NN_RC_Row,308.572754,29.360,2,-1,0
256,2560,6912,NT_RR_Col,301.475372,30.051,2,-1,0
256,2560,6912,NT_RR_Row,303.089111,29.891,2,1,0
256,2560,6912,TN_CC_Col,299.529724,30.246,2,-1,0
256,2560,6912,TN_CC_Row,307.000122,29.510,2,1,0
256,2560,6912,TT_CR_Col,303.478973,29.853,2,1,0
256,2560,6912,TT_CR_Row,301.989899,30.000,2,1,0
256,3840,2560,NN_RC_Col,223.704163,22.499,0,8,0
256,3840,2560,NN_RC_Row,223.006393,22.570,0,1,0
256,3840,2560,NT_RR_Col,222.943161,22.576,0,1,0
256,3840,2560,NT_RR_Row,224.118561,22.458,0,2,0
256,3840,2560,TN_CC_Col,222.722168,22.598,0,2,0
256,3840,2560,TN_CC_Row,223.386444,22.531,0,-1,0
256,3840,2560,TT_CR_Col,222.816818,22.589,0,2,0
256,3840,2560,TT_CR_Row,224.150482,22.454,0,-1,0
256,13824,2560,NN_RC_Col,305.443420,59.322,2,2,0
256,13824,2560,NN_RC_Row,305.410461,59.328,2,-1,0
256,13824,2560,NT_RR_Col,305.443420,59.322,2,4,0
256,13824,2560,NT_RR_Row,305.147156,59.379,2,2,0
256,13824,2560,TN_CC_Col,305.130676,59.382,2,4,0
256,13824,2560,TN_CC_Row,305.180023,59.373,0,2,0
256,13824,2560,TT_CR_Col,305.114258,59.386,0,2,0
256,13824,2560,TT_CR_Row,305.114258,59.386,2,-1,0
