# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: BitNet-2B4T-FP8E4M3
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: fp8e4m3, outdtype: fp32, warmup=5, repeat=10, verify=False
# M_list: [16, 256]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,best_split_k,workspace
16,2560,2560,NN_RC_Col,16.921251,12.394,0,2,0
16,2560,2560,NN_RC_Row,16.995852,12.339,0,1,0
16,2560,2560,NT_RR_Col,16.960663,12.365,0,-1,0
16,2560,2560,NT_RR_Row,16.912518,12.400,0,-1,0
16,2560,2560,TN_CC_Col,17.017918,12.323,0,16,0
16,2560,2560,TN_CC_Row,16.965052,12.362,0,1,0
16,2560,2560,TT_CR_Col,16.947504,12.374,0,1,0
16,2560,2560,TT_CR_Row,16.943123,12.378,0,1,0
16,2560,6912,NN_RC_Col,27.600559,20.515,1,64,655680
16,2560,6912,NN_RC_Row,27.433672,20.640,1,4,655680
16,2560,6912,NT_RR_Col,27.561869,20.544,1,2,655680
16,2560,6912,NT_RR_Row,27.357328,20.698,1,-1,655680
16,2560,6912,TN_CC_Col,27.587652,20.525,1,1,655680
16,2560,6912,TN_CC_Row,27.548996,20.554,1,2,655680
16,2560,6912,TT_CR_Col,27.570459,20.538,1,1,655680
16,2560,6912,TT_CR_Row,27.310883,20.733,1,2,655680
16,3840,2560,NN_RC_Col,25.414684,12.378,0,2,0
16,3840,2560,NN_RC_Row,25.440992,12.365,0,1,0
16,3840,2560,NT_RR_Col,25.368774,12.400,0,2,0
16,3840,2560,NT_RR_Row,25.408115,12.381,0,4,0
16,3840,2560,TN_CC_Col,25.109581,12.528,0,1,0
16,3840,2560,TN_CC_Row,25.421257,12.374,0,1,0
16,3840,2560,TT_CR_Col,25.421257,12.374,0,4,0
16,3840,2560,TT_CR_Row,25.394989,12.387,0,-1,0
16,13824,2560,NN_RC_Col,39.629833,28.576,0,1,0
16,13824,2560,NN_RC_Row,39.803665,28.451,0,-1,0
16,13824,2560,NT_RR_Col,39.396015,28.746,0,1,0
16,13824,2560,NT_RR_Row,39.396015,28.746,0,1,0
16,13824,2560,TN_CC_Col,39.479515,28.685,0,2,0
16,13824,2560,TN_CC_Row,39.422348,28.726,0,-1,0
16,13824,2560,TT_CR_Col,39.448715,28.707,0,2,0
16,13824,2560,TT_CR_Row,39.683155,28.538,0,2,0
256,2560,2560,NN_RC_Col,234.423416,14.314,0,2,0
256,2560,2560,NN_RC_Row,233.327972,14.381,0,-1,0
256,2560,2560,NT_RR_Col,232.191330,14.451,0,1,0
256,2560,2560,NT_RR_Row,232.037170,14.461,0,1,0
256,2560,2560,TN_CC_Col,232.603378,14.426,0,1,0
256,2560,2560,TN_CC_Row,233.379929,14.378,0,-1,0
256,2560,2560,TT_CR_Col,233.483841,14.371,0,-1,0
256,2560,2560,TT_CR_Row,233.224213,14.387,0,2,0
256,2560,6912,NN_RC_Col,296.300903,30.576,0,-1,0
256,2560,6912,NN_RC_Row,299.371399,30.262,0,-1,0
256,2560,6912,NT_RR_Col,296.084015,30.598,0,-1,0
256,2560,6912,NT_RR_Row,300.419708,30.157,0,2,0
256,2560,6912,TN_CC_Col,298.141907,30.387,0,2,0
256,2560,6912,TN_CC_Row,296.114929,30.595,0,-1,0
256,2560,6912,TT_CR_Col,299.403046,30.259,0,2,0
256,2560,6912,TT_CR_Row,300.196716,30.179,0,1,0
256,3840,2560,NN_RC_Col,204.082535,24.662,0,-1,0
256,3840,2560,NN_RC_Row,222.501633,22.621,2,1,0
256,3840,2560,NT_RR_Col,204.986832,24.554,0,-1,0
256,3840,2560,NT_RR_Row,221.125259,22.762,2,-1,0
256,3840,2560,TN_CC_Col,204.215012,24.646,0,2,0
256,3840,2560,TN_CC_Row,222.911560,22.579,2,-1,0
256,3840,2560,TT_CR_Col,204.188492,24.650,0,2,0
256,3840,2560,TT_CR_Row,222.911560,22.579,2,-1,0
256,13824,2560,NN_RC_Col,294.896637,61.443,0,-1,0
256,13824,2560,NN_RC_Row,295.081085,61.405,0,8,0
256,13824,2560,NT_RR_Col,295.004181,61.421,0,2,0
256,13824,2560,NT_RR_Row,295.034912,61.414,0,4,0
256,13824,2560,TN_CC_Col,294.958069,61.430,0,-1,0
256,13824,2560,TN_CC_Row,295.219513,61.376,0,4,0
256,13824,2560,TT_CR_Col,295.034912,61.414,0,2,0
256,13824,2560,TT_CR_Row,295.204132,61.379,0,2,0
