# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-3B-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: int8, outdtype: int32, warmup=5, repeat=30, verify=False
# M_list: [16, 256, 1024]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,layout,tops,lat_us,best_alg_id,best_split_k,workspace
16,2560,2560,NN_RC_Col,25.309990,8.286,0,1,819200
16,2560,2560,NN_RC_Row,25.536821,8.212,1,1,819200
16,2560,2560,NT_RR_Col,25.280701,8.295,0,1,819200
16,2560,2560,NT_RR_Row,25.336082,8.277,1,1,819200
16,2560,2560,TN_CC_Col,25.313250,8.285,0,1,819200
16,2560,2560,TN_CC_Row,25.424545,8.249,1,1,819200
16,2560,2560,TT_CR_Col,25.493776,8.226,0,1,819200
16,2560,2560,TT_CR_Row,25.388432,8.260,1,1,819200
16,2560,6912,NN_RC_Col,34.281021,16.517,0,1,2211840
16,2560,6912,NN_RC_Row,39.084198,14.487,1,1,2211840
16,2560,6912,NT_RR_Col,34.298740,16.509,0,1,2211840
16,2560,6912,NT_RR_Row,39.130299,14.470,1,1,2211840
16,2560,6912,TN_CC_Col,34.181686,16.565,0,1,2211840
16,2560,6912,TN_CC_Row,39.182285,14.451,1,1,2211840
16,2560,6912,TT_CR_Col,34.261108,16.527,0,1,2211840
16,2560,6912,TT_CR_Row,39.104355,14.480,1,1,2211840
16,3840,2560,NN_RC_Col,37.984543,8.282,0,1,1228800
16,3840,2560,NN_RC_Row,38.181252,8.239,1,1,1228800
16,3840,2560,NT_RR_Col,38.043346,8.269,0,1,1228800
16,3840,2560,NT_RR_Row,38.310211,8.211,1,1,1228800
16,3840,2560,TN_CC_Col,38.210934,8.233,0,1,1228800
16,3840,2560,TN_CC_Row,38.305233,8.212,1,1,1228800
16,3840,2560,TT_CR_Col,38.235706,8.227,0,1,1228800
16,3840,2560,TT_CR_Row,37.940563,8.291,1,1,1228800
16,13824,2560,NN_RC_Col,78.070679,14.506,0,1,4423680
16,13824,2560,NN_RC_Row,78.532669,14.420,1,1,4423680
16,13824,2560,NT_RR_Col,78.497833,14.427,0,1,4423680
16,13824,2560,NT_RR_Row,78.555916,14.416,1,1,4423680
16,13824,2560,TN_CC_Col,78.231758,14.476,0,1,4423680
16,13824,2560,TN_CC_Row,78.324104,14.459,1,1,4423680
16,13824,2560,TT_CR_Col,78.370354,14.450,0,1,4423680
16,13824,2560,TT_CR_Row,78.608261,14.406,1,1,4423680
256,2560,2560,NN_RC_Col,300.050354,11.183,0,1,819200
256,2560,2560,NN_RC_Row,232.913376,14.406,1,1,819200
256,2560,2560,NT_RR_Col,309.314453,10.848,0,1,819200
256,2560,2560,NT_RR_Row,232.586182,14.427,1,1,819200
256,2560,2560,TN_CC_Col,301.430450,11.132,0,1,819200
256,2560,2560,TN_CC_Row,233.310684,14.382,1,1,819200
256,2560,2560,TT_CR_Col,300.825104,11.154,0,1,819200
256,2560,2560,TT_CR_Row,232.758270,14.416,1,1,819200
256,2560,6912,NN_RC_Col,399.279144,22.690,0,1,2211840
256,2560,6912,NN_RC_Row,366.555847,24.716,1,1,2211840
256,2560,6912,NT_RR_Col,392.725128,23.069,0,1,2211840
256,2560,6912,NT_RR_Row,367.746155,24.636,1,1,2211840
256,2560,6912,TN_CC_Col,399.260345,22.691,0,1,2211840
256,2560,6912,TN_CC_Row,367.205627,24.672,1,1,2211840
256,2560,6912,TT_CR_Col,398.548431,22.732,0,1,2211840
256,2560,6912,TT_CR_Row,364.526428,24.853,1,1,2211840
256,3840,2560,NN_RC_Col,348.879272,14.427,1,1,1228800
256,3840,2560,NN_RC_Row,337.452057,14.915,0,1,1228800
256,3840,2560,NT_RR_Col,347.568665,14.481,1,1,1228800
256,3840,2560,NT_RR_Row,336.153900,14.973,0,1,1228800
256,3840,2560,TN_CC_Col,347.594269,14.480,1,1,1228800
256,3840,2560,TN_CC_Row,344.598846,14.606,0,1,1228800
256,3840,2560,TT_CR_Col,347.159485,14.498,1,1,1228800
256,3840,2560,TT_CR_Row,327.157471,15.385,0,1,1228800
256,13824,2560,NN_RC_Col,438.712067,41.301,1,1,4423680
256,13824,2560,NN_RC_Row,407.663513,44.447,0,1,4423680
256,13824,2560,NT_RR_Col,440.738190,41.111,1,1,4423680
256,13824,2560,NT_RR_Row,409.540741,44.243,0,1,4423680
256,13824,2560,TN_CC_Col,440.761108,41.109,1,1,4423680
256,13824,2560,TN_CC_Row,409.343353,44.265,0,1,4423680
256,13824,2560,TT_CR_Col,439.654480,41.213,1,1,4423680
256,13824,2560,TT_CR_Row,411.295868,44.054,0,1,4423680
1024,2560,2560,NN_RC_Col,435.651123,30.809,1,1,819200
1024,2560,2560,NN_RC_Row,434.327850,30.902,0,1,819200
1024,2560,2560,NT_RR_Col,435.756775,30.801,1,1,819200
1024,2560,2560,NT_RR_Row,429.905762,31.220,0,1,819200
1024,2560,2560,TN_CC_Col,435.560669,30.815,1,1,819200
1024,2560,2560,TN_CC_Row,428.704712,31.308,0,1,819200
1024,2560,2560,TT_CR_Col,435.169037,30.843,1,1,819200
1024,2560,2560,TT_CR_Row,431.690430,31.091,0,1,819200
1024,2560,6912,NN_RC_Col,572.075745,63.346,1,1,2211840
1024,2560,6912,NN_RC_Row,570.002563,63.577,0,1,2211840
1024,2560,6912,NT_RR_Col,572.085327,63.345,1,1,2211840
1024,2560,6912,NT_RR_Row,565.985779,64.028,0,1,2211840
1024,2560,6912,TN_CC_Col,571.488708,63.411,1,1,2211840
1024,2560,6912,TN_CC_Row,569.840027,63.595,0,1,2211840
1024,2560,6912,TT_CR_Col,571.979431,63.357,1,1,2211840
1024,2560,6912,TT_CR_Row,568.210327,63.777,0,1,2211840
1024,3840,2560,NN_RC_Col,467.303009,43.083,1,1,1228800
1024,3840,2560,NN_RC_Row,443.820831,45.362,0,1,1228800
1024,3840,2560,NT_RR_Col,467.037079,43.107,1,1,1228800
1024,3840,2560,NT_RR_Row,444.772552,45.265,0,1,1228800
1024,3840,2560,TN_CC_Col,466.852203,43.124,1,1,1228800
1024,3840,2560,TN_CC_Row,442.281616,45.520,0,1,1228800
1024,3840,2560,TT_CR_Col,467.187347,43.093,1,1,1228800
1024,3840,2560,TT_CR_Row,441.588287,45.591,0,1,1228800
1024,13824,2560,NN_RC_Col,518.716614,139.725,1,1,4423680
1024,13824,2560,NN_RC_Row,494.194000,146.658,0,1,4423680
1024,13824,2560,NT_RR_Col,518.914673,139.671,1,1,4423680
1024,13824,2560,NT_RR_Row,497.989838,145.540,0,1,4423680
1024,13824,2560,TN_CC_Col,519.430359,139.533,1,1,4423680
1024,13824,2560,TN_CC_Row,494.388184,146.601,0,1,4423680
1024,13824,2560,TT_CR_Col,519.097046,139.622,1,1,4423680
1024,13824,2560,TT_CR_Row,494.003632,146.715,0,1,4423680
