# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: fp8e4m3, outdtype: bf16, warmup=5, repeat=30, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,best_alg_id,best_split_k,workspace
16,2048,2048,NN_RC_Col,13.137306,10.217,2,1,0
16,2048,2048,NN_RC_Row,13.103105,10.243,2,2,0
16,2048,2048,NT_RR_Col,13.135934,10.218,2,1,0
16,2048,2048,NT_RR_Row,13.107199,10.240,2,1,0
16,2048,2048,TN_CC_Col,13.107199,10.240,2,1,0
16,2048,2048,TN_CC_Row,13.105834,10.241,2,-1,0
16,2048,2048,TT_CR_Col,13.140050,10.214,2,1,0
16,2048,2048,TT_CR_Row,13.135934,10.218,2,-1,0
16,2048,8192,NN_RC_Col,37.307575,14.390,3,2,2097344
16,2048,8192,NN_RC_Row,37.307575,14.390,3,2,2097344
16,2048,8192,NT_RR_Col,37.310341,14.389,3,-1,2097344
16,2048,8192,NT_RR_Row,37.302044,14.393,3,2,2097344
16,2048,8192,TN_CC_Col,37.219292,14.425,3,1,2097344
16,2048,8192,TN_CC_Row,37.167072,14.445,3,1,2097344
16,2048,8192,TT_CR_Col,37.313107,14.388,3,-1,2097344
16,2048,8192,TT_CR_Row,37.302044,14.393,3,-1,2097344
16,3072,2048,NN_RC_Col,19.714193,10.212,2,1,0
16,3072,2048,NN_RC_Row,19.699791,10.220,2,2,0
16,3072,2048,NT_RR_Col,19.656706,10.242,2,4,0
16,3072,2048,NT_RR_Row,19.658752,10.241,2,1,0
16,3072,2048,TN_CC_Col,19.611773,10.266,2,4,0
16,3072,2048,TN_CC_Row,19.708017,10.215,2,4,0
16,3072,2048,TT_CR_Col,19.701845,10.219,2,1,0
16,3072,2048,TT_CR_Row,19.699791,10.220,2,1,0
16,16384,2048,NN_RC_Col,47.673832,22.523,2,-1,0
16,16384,2048,NN_RC_Row,47.651264,22.533,2,-1,0
16,16384,2048,NT_RR_Col,47.649010,22.534,2,-1,0
16,16384,2048,NT_RR_Row,47.651264,22.533,2,-1,0
16,16384,2048,TN_CC_Col,47.716766,22.502,2,4,0
16,16384,2048,TN_CC_Row,47.658035,22.530,2,1,0
16,16384,2048,TT_CR_Col,47.658035,22.530,2,1,0
16,16384,2048,TT_CR_Row,47.669315,22.525,2,2,0
128,2048,2048,NN_RC_Col,104.879456,10.238,2,2,0
128,2048,2048,NN_RC_Row,104.552658,10.270,2,1,0
128,2048,2048,NT_RR_Col,104.596115,10.266,2,4,0
128,2048,2048,NT_RR_Row,105.043617,10.222,2,-1,0
128,2048,2048,TN_CC_Col,104.563507,10.269,2,2,0
128,2048,2048,TN_CC_Row,104.879456,10.238,2,-1,0
128,2048,2048,TT_CR_Col,104.890373,10.237,2,-1,0
128,2048,2048,TT_CR_Row,104.444168,10.281,2,1,0
128,2048,8192,NN_RC_Col,188.941483,22.732,3,1,1048896
128,2048,8192,NN_RC_Row,188.879456,22.739,3,4,1048896
128,2048,8192,NT_RR_Col,188.897156,22.737,3,4,1048896
128,2048,8192,NT_RR_Row,188.879456,22.739,3,1,1048896
128,2048,8192,TN_CC_Col,188.879456,22.739,3,1,1048896
128,2048,8192,TN_CC_Row,189.367996,22.681,3,2,1048896
128,2048,8192,TT_CR_Col,189.074570,22.716,3,1,1048896
128,2048,8192,TT_CR_Row,189.074570,22.716,3,1,1048896
128,3072,2048,NN_RC_Col,157.335571,10.237,2,2,0
128,3072,2048,NN_RC_Row,157.090057,10.253,3,1,0
128,3072,2048,NT_RR_Col,157.368362,10.235,2,1,0
128,3072,2048,NT_RR_Row,157.253647,10.242,2,-1,0
128,3072,2048,TN_CC_Col,157.351959,10.236,2,1,0
128,3072,2048,TN_CC_Row,156.943085,10.262,2,8,0
128,3072,2048,TT_CR_Col,157.286392,10.240,2,-1,0
128,3072,2048,TT_CR_Row,157.319183,10.238,2,1,0
128,16384,2048,NN_RC_Col,279.474731,30.736,2,1,0
128,16384,2048,NN_RC_Row,279.465027,30.737,2,2,0
128,16384,2048,NT_RR_Col,279.659119,30.716,2,1,0
128,16384,2048,NT_RR_Row,279.659119,30.716,2,1,0
128,16384,2048,TN_CC_Col,279.474731,30.736,2,2,0
128,16384,2048,TN_CC_Row,279.164673,30.770,3,2,0
128,16384,2048,TT_CR_Col,279.668823,30.715,2,2,0
128,16384,2048,TT_CR_Row,279.659119,30.716,2,-1,0
1024,2048,2048,NN_RC_Col,279.116272,30.775,2,8,0
1024,2048,2048,NN_RC_Row,279.455322,30.738,2,-1,0
1024,2048,2048,NT_RR_Col,279.000275,30.788,2,4,0
1024,2048,2048,NT_RR_Row,278.922943,30.797,2,2,0
1024,2048,2048,TN_CC_Col,279.406830,30.743,2,1,0
1024,2048,2048,TN_CC_Row,278.922943,30.797,2,2,0
1024,2048,2048,TT_CR_Col,279.445618,30.739,2,1,0
1024,2048,2048,TT_CR_Row,278.855347,30.804,2,2,0
1024,2048,8192,NN_RC_Col,359.122986,95.677,3,-1,2884416
1024,2048,8192,NN_RC_Row,359.632172,95.541,3,1,2884416
1024,2048,8192,NT_RR_Col,358.858948,95.747,3,-1,2884416
1024,2048,8192,NT_RR_Row,360.840759,95.221,3,1,2884416
1024,2048,8192,TN_CC_Col,361.614471,95.018,3,1,2884416
1024,2048,8192,TN_CC_Row,359.800873,95.497,3,-1,2884416
1024,2048,8192,TT_CR_Col,359.833069,95.488,3,2,2884416
1024,2048,8192,TT_CR_Row,360.695282,95.260,3,8,2884416
1024,3072,2048,NN_RC_Col,330.920654,38.937,3,2,0
1024,3072,2048,NN_RC_Row,330.938721,38.934,2,1,0
1024,3072,2048,NT_RR_Col,330.920654,38.937,3,2,0
1024,3072,2048,NT_RR_Row,331.120178,38.913,2,2,0
1024,3072,2048,TN_CC_Col,331.165558,38.908,2,1,0
1024,3072,2048,TN_CC_Row,330.929688,38.935,2,1,0
1024,3072,2048,TT_CR_Col,331.056671,38.921,2,2,0
1024,3072,2048,TT_CR_Row,331.129272,38.912,2,-1,0
1024,16384,2048,NN_RC_Col,394.540466,174.176,2,4,0
1024,16384,2048,NN_RC_Row,394.697571,174.107,2,2,0
1024,16384,2048,NT_RR_Col,394.915283,174.011,2,1,0
1024,16384,2048,NT_RR_Row,394.849976,174.039,2,-1,0
1024,16384,2048,TN_CC_Col,394.857208,174.036,2,1,0
1024,16384,2048,TN_CC_Row,395.000031,173.973,2,4,0
1024,16384,2048,TT_CR_Col,394.477661,174.204,2,2,0
1024,16384,2048,TT_CR_Row,394.562195,174.166,2,-1,0
4096,2048,2048,NN_RC_Col,372.495056,92.242,2,4,0
4096,2048,2048,NN_RC_Row,372.697601,92.192,2,4,0
4096,2048,2048,NT_RR_Col,372.232452,92.307,2,1,0
4096,2048,2048,NT_RR_Row,372.279816,92.295,2,1,0
4096,2048,2048,TN_CC_Col,372.542480,92.230,2,-1,0
4096,2048,2048,TN_CC_Row,372.551025,92.228,2,-1,0
4096,2048,2048,TT_CR_Col,372.516602,92.237,2,-1,0
4096,2048,2048,TT_CR_Row,372.507996,92.239,2,1,0
4096,2048,8192,NN_RC_Col,413.376404,332.479,3,1,3277760
4096,2048,8192,NN_RC_Row,413.558167,332.333,3,2,3277760
4096,2048,8192,NT_RR_Col,413.906250,332.053,3,1,3277760
4096,2048,8192,NT_RR_Row,413.822510,332.121,3,2,3277760
4096,2048,8192,TN_CC_Col,413.552887,332.337,3,2,3277760
4096,2048,8192,TN_CC_Row,414.129730,331.874,3,1,3277760
4096,2048,8192,TT_CR_Col,413.392365,332.466,3,1,3277760
4096,2048,8192,TT_CR_Row,414.081848,331.913,3,1,3277760
4096,3072,2048,NN_RC_Col,385.393951,133.732,2,1,0
4096,3072,2048,NN_RC_Row,387.092072,133.146,2,4,0
4096,3072,2048,NT_RR_Col,385.938843,133.543,2,2,0
4096,3072,2048,NT_RR_Row,386.049774,133.505,2,1,0
4096,3072,2048,TN_CC_Col,384.970215,133.879,2,4,0
4096,3072,2048,TN_CC_Row,386.896820,133.213,2,1,0
4096,3072,2048,TT_CR_Col,385.375519,133.739,2,2,0
4096,3072,2048,TT_CR_Row,386.754333,133.262,2,2,0
4096,16384,2048,NN_RC_Col,407.073151,675.254,0,4,0
4096,16384,2048,NN_RC_Row,401.159485,685.209,0,1,0
4096,16384,2048,NT_RR_Col,403.514404,681.210,0,4,0
4096,16384,2048,NT_RR_Row,401.677856,684.324,0,1,0
4096,16384,2048,TN_CC_Col,406.270264,676.589,0,1,0
4096,16384,2048,TN_CC_Row,401.789948,684.133,0,2,0
4096,16384,2048,TT_CR_Col,404.000244,680.390,0,-1,0
4096,16384,2048,TT_CR_Row,402.301788,683.263,0,2,0
16384,2048,2048,NN_RC_Col,395.894531,347.161,0,-1,0
16384,2048,2048,NN_RC_Row,399.325073,344.178,2,8,0
16384,2048,2048,NT_RR_Col,396.439026,346.684,0,2,0
16384,2048,2048,NT_RR_Row,394.747131,348.170,0,-1,0
16384,2048,2048,TN_CC_Col,398.342377,345.027,0,-1,0
16384,2048,2048,TN_CC_Row,395.060608,347.893,0,16,0
16384,2048,2048,TT_CR_Col,395.754669,347.283,0,4,0
16384,2048,2048,TT_CR_Row,400.102570,343.509,2,1,0
16384,2048,8192,NN_RC_Col,415.149872,1324.235,0,2,0
16384,2048,8192,NN_RC_Row,413.517395,1329.462,0,2,0
16384,2048,8192,NT_RR_Col,418.805634,1312.675,0,2,0
16384,2048,8192,NT_RR_Row,418.138672,1314.769,0,2,0
16384,2048,8192,TN_CC_Col,426.757660,1288.215,0,-1,0
16384,2048,8192,TN_CC_Row,423.872314,1296.984,2,2,0
16384,2048,8192,TT_CR_Col,415.134125,1324.285,0,2,0
16384,2048,8192,TT_CR_Row,413.657776,1329.011,0,2,0
16384,3072,2048,NN_RC_Col,401.757568,513.141,0,-1,0
16384,3072,2048,NN_RC_Row,399.737610,515.734,0,4,0
16384,3072,2048,NT_RR_Col,403.377594,511.081,0,16,0
16384,3072,2048,NT_RR_Row,399.687195,515.799,0,32,0
16384,3072,2048,TN_CC_Col,406.744324,506.850,0,2,0
16384,3072,2048,TN_CC_Row,399.893097,515.534,0,32,0
16384,3072,2048,TT_CR_Col,401.325439,513.694,0,4,0
16384,3072,2048,TT_CR_Row,404.892761,509.168,0,2,0
16384,16384,2048,NN_RC_Col,410.328400,2679.589,0,2,0
16384,16384,2048,NN_RC_Row,403.231415,2726.751,2,4,0
16384,16384,2048,NT_RR_Col,398.172485,2761.395,0,1,0
16384,16384,2048,NT_RR_Row,398.001099,2762.584,0,1,0
16384,16384,2048,TN_CC_Col,408.972260,2688.475,0,1,0
16384,16384,2048,TN_CC_Row,403.516510,2724.824,2,1,0
16384,16384,2048,TT_CR_Col,398.921265,2756.212,0,1,0
16384,16384,2048,TT_CR_Row,397.531097,2765.851,0,1,0
