# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: fp8e4m3, outdtype: fp32, warmup=5, repeat=30, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,best_alg_id,best_split_k,workspace
16,2048,2048,NN_RC_Col,13.093561,10.251,0,-1,0
16,2048,2048,NN_RC_Row,13.081309,10.260,0,-1,0
16,2048,2048,NT_RR_Col,13.115397,10.234,0,2,0
16,2048,2048,NT_RR_Row,13.074514,10.266,1,1,0
16,2048,2048,TN_CC_Col,13.078589,10.262,0,-1,0
16,2048,2048,TN_CC_Row,12.969400,10.349,0,1,0
16,2048,2048,TT_CR_Col,13.114030,10.235,0,16,0
16,2048,2048,TT_CR_Row,13.089476,10.254,0,1,0
16,2048,8192,NN_RC_Col,36.716988,14.622,1,4,2097344
16,2048,8192,NN_RC_Row,37.060337,14.486,1,2,2097344
16,2048,8192,NT_RR_Col,36.567604,14.682,1,1,2097344
16,2048,8192,NT_RR_Row,37.082184,14.478,1,2,2097344
16,2048,8192,TN_CC_Col,36.908154,14.546,1,-1,2097344
16,2048,8192,TN_CC_Row,37.233059,14.419,1,1,2097344
16,2048,8192,TT_CR_Col,36.056774,14.890,1,-1,2097344
16,2048,8192,TT_CR_Row,37.054882,14.489,1,1,2097344
16,3072,2048,NN_RC_Col,19.679247,10.230,0,2,0
16,3072,2048,NN_RC_Row,19.675148,10.233,0,-1,0
16,3072,2048,NT_RR_Col,19.630127,10.256,0,-1,0
16,3072,2048,NT_RR_Row,19.664898,10.238,0,2,0
16,3072,2048,TN_CC_Col,19.628088,10.257,0,-1,0
16,3072,2048,TN_CC_Row,19.660799,10.240,0,-1,0
16,3072,2048,TT_CR_Col,19.675148,10.233,0,2,0
16,3072,2048,TT_CR_Row,19.619925,10.261,0,1,0
16,16384,2048,NN_RC_Col,47.592686,22.561,0,1,0
16,16384,2048,NN_RC_Row,47.610699,22.553,0,4,0
16,16384,2048,NT_RR_Col,47.579193,22.567,0,2,0
16,16384,2048,NT_RR_Row,47.558960,22.577,1,-1,0
16,16384,2048,TN_CC_Col,47.554470,22.579,0,-1,0
16,16384,2048,TN_CC_Row,47.588188,22.563,1,1,0
16,16384,2048,TT_CR_Col,47.572445,22.571,0,1,0
16,16384,2048,TT_CR_Row,47.624210,22.546,0,2,0
128,2048,2048,NN_RC_Col,104.923180,10.234,0,2,0
128,2048,2048,NN_RC_Row,104.737587,10.252,0,1,0
128,2048,2048,NT_RR_Col,104.639603,10.261,0,2,0
128,2048,2048,NT_RR_Row,104.726700,10.253,0,8,0
128,2048,2048,TN_CC_Col,104.890373,10.237,0,-1,0
128,2048,2048,TN_CC_Row,104.945061,10.231,0,2,0
128,2048,2048,TT_CR_Col,104.945061,10.231,0,2,0
128,2048,2048,TT_CR_Row,104.890373,10.237,0,-1,0
128,2048,8192,NN_RC_Col,179.787994,23.889,1,2,1048896
128,2048,8192,NN_RC_Row,182.328018,23.556,1,2,1048896
128,2048,8192,NT_RR_Col,180.797089,23.756,1,8,1048896
128,2048,8192,NT_RR_Row,182.361038,23.552,1,2,1048896
128,2048,8192,TN_CC_Col,178.877457,24.011,1,1,1048896
128,2048,8192,TN_CC_Row,183.507950,23.405,1,1,1048896
128,2048,8192,TT_CR_Col,180.764603,23.760,1,1,1048896
128,2048,8192,TT_CR_Row,181.309967,23.689,1,2,1048896
128,3072,2048,NN_RC_Col,156.992035,10.259,0,-1,0
128,3072,2048,NN_RC_Row,156.682526,10.279,1,1,0
128,3072,2048,NT_RR_Col,157.368362,10.235,0,4,0
128,3072,2048,NT_RR_Row,156.163956,10.314,0,1,0
128,3072,2048,TN_CC_Col,156.455231,10.294,1,1,0
128,3072,2048,TN_CC_Row,156.763855,10.274,1,2,0
128,3072,2048,TT_CR_Col,156.083252,10.319,0,2,0
128,3072,2048,TT_CR_Row,156.763855,10.274,1,2,0
128,16384,2048,NN_RC_Col,261.905273,32.798,0,2,0
128,16384,2048,NN_RC_Row,262.118408,32.771,0,4,0
128,16384,2048,NT_RR_Col,262.126923,32.770,0,4,0
128,16384,2048,NT_RR_Row,262.297699,32.749,1,1,0
128,16384,2048,TN_CC_Col,262.058685,32.779,0,-1,0
128,16384,2048,TN_CC_Row,262.348938,32.742,0,-1,0
