# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: int8, outdtype: bf16, warmup=5, repeat=30, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,best_alg_id,best_split_k,workspace
16,2048,2048,NN_RC_Col,21.546082,6.229,1,1,524288
16,2048,2048,NN_RC_Row,21.634993,6.204,0,1,524288
16,2048,2048,NT_RR_Col,21.575636,6.221,1,1,524288
16,2048,2048,NT_RR_Row,21.553461,6.227,0,1,524288
16,2048,2048,TN_CC_Col,21.355927,6.285,1,1,524288
16,2048,2048,TN_CC_Row,21.523970,6.236,0,1,524288
16,2048,2048,TT_CR_Col,21.542393,6.230,1,1,524288
16,2048,2048,TT_CR_Row,21.520287,6.237,0,1,524288
16,2048,8192,NN_RC_Col,29.007925,18.508,1,1,2097152
16,2048,8192,NN_RC_Row,32.600327,16.468,0,1,2097152
16,2048,8192,NT_RR_Col,28.987873,18.521,1,1,2097152
16,2048,8192,NT_RR_Row,32.596107,16.470,0,1,2097152
16,2048,8192,TN_CC_Col,28.917927,18.565,1,1,2097152
16,2048,8192,TN_CC_Row,32.604553,16.466,0,1,2097152
16,2048,8192,TT_CR_Col,29.038048,18.489,1,1,2097152
16,2048,8192,TT_CR_Row,32.604553,16.466,0,1,2097152
16,3072,2048,NN_RC_Col,32.137527,6.265,1,1,786432
16,3072,2048,NN_RC_Row,32.335735,6.226,0,1,786432
16,3072,2048,NT_RR_Col,32.374561,6.219,1,1,786432
16,3072,2048,NT_RR_Row,32.341274,6.225,0,1,786432
16,3072,2048,TN_CC_Col,32.017586,6.288,1,1,786432
16,3072,2048,TN_CC_Row,32.159424,6.260,0,1,786432
16,3072,2048,TT_CR_Col,32.319122,6.229,1,1,786432
16,3072,2048,TT_CR_Row,32.274910,6.238,0,1,786432
16,16384,2048,NN_RC_Col,86.883560,12.358,1,1,4194304
16,16384,2048,NN_RC_Row,86.966125,12.347,0,1,4194304
16,16384,2048,NT_RR_Col,86.703957,12.384,1,1,4194304
16,16384,2048,NT_RR_Row,87.184563,12.316,0,1,4194304
16,16384,2048,TN_CC_Col,86.435944,12.422,1,1,4194304
16,16384,2048,TN_CC_Row,87.078979,12.331,0,1,4194304
16,16384,2048,TT_CR_Col,86.606979,12.398,1,1,4194304
16,16384,2048,TT_CR_Row,86.981163,12.345,0,1,4194304
128,2048,2048,NN_RC_Col,130.257889,8.243,1,1,524288
128,2048,2048,NN_RC_Row,170.039352,6.315,0,1,524288
128,2048,2048,NT_RR_Col,128.446198,8.359,1,1,524288
128,2048,2048,NT_RR_Row,170.183090,6.309,0,1,524288
128,2048,2048,TN_CC_Col,130.308472,8.240,1,1,524288
128,2048,2048,TN_CC_Row,170.125549,6.311,0,1,524288
128,2048,2048,TT_CR_Col,129.337402,8.302,1,1,524288
128,2048,2048,TT_CR_Row,102.487572,10.477,0,1,524288
128,2048,8192,NN_RC_Col,231.276947,18.571,1,1,2097152
128,2048,8192,NN_RC_Row,232.599625,18.465,0,1,2097152
128,2048,8192,NT_RR_Col,229.183899,18.740,1,1,2097152
128,2048,8192,NT_RR_Row,233.043854,18.430,0,1,2097152
128,2048,8192,TN_CC_Col,231.223846,18.575,1,1,2097152
128,2048,8192,TN_CC_Row,232.882141,18.443,0,1,2097152
128,2048,8192,TT_CR_Col,232.116882,18.503,1,1,2097152
128,2048,8192,TT_CR_Row,232.599625,18.465,0,1,2097152
128,3072,2048,NN_RC_Col,188.861725,8.528,1,1,786432
128,3072,2048,NN_RC_Row,256.837799,6.271,0,1,786432
128,3072,2048,NT_RR_Col,194.480865,8.282,1,1,786432
128,3072,2048,NT_RR_Row,252.668930,6.374,0,1,786432
128,3072,2048,TN_CC_Col,194.631271,8.275,1,1,786432
128,3072,2048,TN_CC_Row,181.397079,8.879,0,1,786432
128,3072,2048,TT_CR_Col,188.743668,8.533,1,1,786432
128,3072,2048,TT_CR_Row,256.532349,6.278,0,1,786432
128,16384,2048,NN_RC_Col,418.776031,20.512,0,1,4194304
128,16384,2048,NN_RC_Row,418.819611,20.510,1,1,4194304
128,16384,2048,NT_RR_Col,418.993958,20.501,0,1,4194304
128,16384,2048,NT_RR_Row,418.972107,20.502,1,1,4194304
128,16384,2048,TN_CC_Col,417.885101,20.556,0,1,4194304
128,16384,2048,TN_CC_Row,418.819611,20.510,1,1,4194304
128,16384,2048,TT_CR_Col,417.950195,20.553,0,1,4194304
128,16384,2048,TT_CR_Row,418.688995,20.516,1,1,4194304
1024,2048,2048,NN_RC_Col,418.493134,20.526,0,1,524288
1024,2048,2048,NN_RC_Row,418.863220,20.508,1,1,524288
1024,2048,2048,NT_RR_Col,417.322052,20.583,0,1,524288
1024,2048,2048,NT_RR_Row,417.278809,20.586,1,1,524288
1024,2048,2048,TN_CC_Col,416.523438,20.623,0,1,524288
1024,2048,2048,TN_CC_Row,418.601898,20.521,1,1,524288
1024,2048,2048,TT_CR_Col,418.536652,20.524,0,1,524288
1024,2048,2048,TT_CR_Row,418.536652,20.524,1,1,524288
1024,2048,8192,NN_RC_Col,539.641113,63.671,0,1,2097152
1024,2048,8192,NN_RC_Row,535.754761,64.133,1,1,2097152
1024,2048,8192,NT_RR_Col,542.513062,63.334,0,1,2097152
1024,2048,8192,NT_RR_Row,538.090576,63.855,1,1,2097152
1024,2048,8192,TN_CC_Col,541.609985,63.440,0,1,2097152
1024,2048,8192,TN_CC_Row,536.513184,64.043,1,1,2097152
1024,2048,8192,TT_CR_Col,539.424194,63.697,0,1,2097152
1024,2048,8192,TT_CR_Row,535.728088,64.137,1,1,2097152
1024,3072,2048,NN_RC_Col,446.004883,28.890,0,1,786432
1024,3072,2048,NN_RC_Row,438.508575,29.383,1,1,786432
1024,3072,2048,NT_RR_Col,447.790466,28.774,0,1,786432
1024,3072,2048,NT_RR_Row,434.486572,29.655,1,1,786432
1024,3072,2048,TN_CC_Col,447.840271,28.771,0,1,786432
1024,3072,2048,TN_CC_Row,445.609985,28.915,1,1,786432
1024,3072,2048,TT_CR_Col,446.912415,28.831,0,1,786432
1024,3072,2048,TT_CR_Row,435.929077,29.557,1,1,786432
1024,16384,2048,NN_RC_Col,578.135315,118.864,0,1,4194304
1024,16384,2048,NN_RC_Row,580.082214,118.465,1,1,4194304
1024,16384,2048,NT_RR_Col,578.353333,118.819,0,1,4194304
1024,16384,2048,NT_RR_Row,579.779419,118.527,1,1,4194304
1024,16384,2048,TN_CC_Col,578.093811,118.873,0,1,4194304
1024,16384,2048,TN_CC_Row,579.534302,118.577,1,1,4194304
1024,16384,2048,TT_CR_Col,578.150879,118.861,0,1,4194304
1024,16384,2048,TT_CR_Row,579.482117,118.588,1,1,4194304
4096,2048,2048,NN_RC_Col,528.485596,65.015,0,1,524288
4096,2048,2048,NN_RC_Row,539.045044,63.742,1,1,524288
4096,2048,2048,NT_RR_Col,533.050720,64.459,0,1,524288
4096,2048,2048,NT_RR_Row,539.288757,63.713,1,1,524288
4096,2048,2048,TN_CC_Col,532.451538,64.531,0,1,524288
4096,2048,2048,TN_CC_Row,536.879822,63.999,1,1,524288
4096,2048,2048,TT_CR_Col,530.111938,64.816,0,1,524288
4096,2048,2048,TT_CR_Row,539.424194,63.697,1,1,524288
4096,2048,8192,NN_RC_Col,615.095703,223.443,0,1,2097152
4096,2048,8192,NN_RC_Row,613.709961,223.948,1,1,2097152
4096,2048,8192,NT_RR_Col,614.937195,223.501,0,1,2097152
4096,2048,8192,NT_RR_Row,613.961426,223.856,1,1,2097152
4096,2048,8192,TN_CC_Col,615.263184,223.382,0,1,2097152
4096,2048,8192,TN_CC_Row,614.511902,223.655,1,1,2097152
4096,2048,8192,TT_CR_Col,614.758179,223.566,0,1,2097152
4096,2048,8192,TT_CR_Row,614.087280,223.810,1,1,2097152
4096,3072,2048,NN_RC_Col,559.111145,92.181,0,1,786432
4096,3072,2048,NN_RC_Row,571.004272,90.261,1,1,786432
4096,3072,2048,NT_RR_Col,558.710266,92.247,0,1,786432
4096,3072,2048,NT_RR_Row,571.321594,90.211,1,1,786432
4096,3072,2048,TN_CC_Col,558.619812,92.262,0,1,786432
4096,3072,2048,TN_CC_Row,571.024536,90.258,1,1,786432
4096,3072,2048,TT_CR_Col,558.787842,92.235,0,1,786432
4096,3072,2048,TT_CR_Row,570.539062,90.335,1,1,786432
4096,16384,2048,NN_RC_Col,605.594543,453.898,0,1,4194304
4096,16384,2048,NN_RC_Row,591.875916,464.418,1,1,4194304
4096,16384,2048,NT_RR_Col,606.659485,453.101,0,1,4194304
4096,16384,2048,NT_RR_Row,594.123413,462.661,1,1,4194304
4096,16384,2048,TN_CC_Col,606.286987,453.379,0,1,4194304
4096,16384,2048,TN_CC_Row,595.713745,461.426,1,1,4194304
4096,16384,2048,TT_CR_Col,595.109863,461.894,0,1,4194304
4096,16384,2048,TT_CR_Row,590.760620,465.295,1,1,4194304
16384,2048,2048,NN_RC_Col,586.103577,234.496,0,1,524288
16384,2048,2048,NN_RC_Row,587.249634,234.038,1,1,524288
16384,2048,2048,NT_RR_Col,585.887817,234.582,0,1,524288
16384,2048,2048,NT_RR_Row,587.166626,234.071,1,1,524288
16384,2048,2048,TN_CC_Col,584.192932,235.263,0,1,524288
16384,2048,2048,TN_CC_Row,585.791870,234.621,1,1,524288
16384,2048,2048,TT_CR_Col,586.474426,234.348,0,1,524288
16384,2048,2048,TT_CR_Row,584.394348,235.182,1,1,524288
16384,2048,8192,NN_RC_Col,642.993652,854.994,0,1,2097152
16384,2048,8192,NN_RC_Row,632.827271,868.730,1,1,2097152
16384,2048,8192,NT_RR_Col,667.395386,823.733,0,1,2097152
16384,2048,8192,NT_RR_Row,633.174072,868.254,1,1,2097152
16384,2048,8192,TN_CC_Col,666.351318,825.024,0,1,2097152
16384,2048,8192,TN_CC_Row,634.274292,866.748,1,1,2097152
16384,2048,8192,TT_CR_Col,640.897217,857.791,0,1,2097152
16384,2048,8192,TT_CR_Row,634.853271,865.957,1,1,2097152
16384,3072,2048,NN_RC_Col,603.157959,341.798,0,1,786432
16384,3072,2048,NN_RC_Row,601.618408,342.673,1,1,786432
16384,3072,2048,NT_RR_Col,602.295227,342.288,0,1,786432
16384,3072,2048,NT_RR_Row,602.676453,342.071,1,1,786432
16384,3072,2048,TN_CC_Col,601.832031,342.551,0,1,786432
16384,3072,2048,TN_CC_Row,603.674194,341.506,1,1,786432
16384,3072,2048,TT_CR_Col,604.098755,341.266,0,1,786432
16384,3072,2048,TT_CR_Row,590.081543,349.373,1,1,786432
16384,16384,2048,NN_RC_Col,588.699158,1867.697,0,1,4194304
16384,16384,2048,NN_RC_Row,579.685913,1896.737,1,1,4194304
16384,16384,2048,NT_RR_Col,597.204773,1841.096,0,1,4194304
16384,16384,2048,NT_RR_Row,582.077393,1888.944,1,1,4194304
16384,16384,2048,TN_CC_Col,609.532654,1803.860,0,1,4194304
16384,16384,2048,TN_CC_Row,596.864197,1842.147,1,1,4194304
16384,16384,2048,TT_CR_Col,612.904968,1793.935,0,1,4194304
16384,16384,2048,TT_CR_Row,577.608582,1903.558,1,1,4194304
