# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: int8, outdtype: bf16, warmup=5, repeat=30, verify=False
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,layout,tops,lat_us,best_alg_id,best_split_k,workspace
16,2048,2048,NN_RC_Col,21.538706,6.231,1,1,524288
16,2048,2048,NN_RC_Row,21.627558,6.206,0,1,524288
16,2048,2048,NT_RR_Col,21.560850,6.225,1,1,524288
16,2048,2048,NT_RR_Row,21.527651,6.235,0,1,524288
16,2048,2048,TN_CC_Col,21.359554,6.284,1,1,524288
16,2048,2048,TN_CC_Row,21.520287,6.237,0,1,524288
16,2048,2048,TT_CR_Col,21.531336,6.234,1,1,524288
16,2048,2048,TT_CR_Row,21.620123,6.208,0,1,524288
16,2048,2752,NN_RC_Col,21.775000,8.283,1,1,720896
16,2048,2752,NN_RC_Row,21.808702,8.270,0,1,720896
16,2048,2752,NT_RR_Col,21.702333,8.310,1,1,720896
16,2048,2752,NT_RR_Row,21.710691,8.307,0,1,720896
16,2048,2752,TN_CC_Col,21.783417,8.279,1,1,720896
16,2048,2752,TN_CC_Row,21.817146,8.267,0,1,720896
16,2048,2752,TT_CR_Col,21.749790,8.292,1,1,720896
16,2048,2752,TT_CR_Row,21.794649,8.275,0,1,720896
16,2048,3072,NN_RC_Col,24.313238,8.281,1,1,786432
16,2048,3072,NN_RC_Row,24.357166,8.266,0,1,786432
16,2048,3072,NT_RR_Col,24.335184,8.273,1,1,786432
16,2048,3072,NT_RR_Row,24.382338,8.257,0,1,786432
16,2048,3072,TN_CC_Col,24.163832,8.332,1,1,786432
16,2048,3072,TN_CC_Row,24.354025,8.267,0,1,786432
16,2048,3072,TT_CR_Col,24.328909,8.275,1,1,786432
16,2048,3072,TT_CR_Row,24.480373,8.224,0,1,786432
16,2048,3296,NN_RC_Col,21.037424,10.268,1,1,851968
16,2048,3296,NN_RC_Row,20.969891,10.301,0,1,851968
16,2048,3296,NT_RR_Col,20.907108,10.332,1,1,851968
16,2048,3296,NT_RR_Row,21.063683,10.255,0,1,851968
16,2048,3296,TN_CC_Col,21.004692,10.284,1,1,851968
16,2048,3296,TN_CC_Row,21.057112,10.258,0,1,851968
16,2048,3296,TT_CR_Col,21.041798,10.266,1,1,851968
16,2048,3296,TT_CR_Row,21.039610,10.267,0,1,851968
16,2048,8192,NN_RC_Col,28.984537,18.523,1,1,2097152
16,2048,8192,NN_RC_Row,32.585556,16.476,0,1,2097152
16,2048,8192,NT_RR_Col,29.036373,18.490,1,1,2097152
16,2048,8192,NT_RR_Row,32.589775,16.474,0,1,2097152
16,2048,8192,TN_CC_Col,28.881418,18.589,1,1,2097152
16,2048,8192,TN_CC_Row,32.589775,16.474,0,1,2097152
16,2048,8192,TT_CR_Col,29.029675,18.494,1,1,2097152
16,2048,8192,TT_CR_Row,32.600327,16.468,0,1,2097152
16,2048,10944,NN_RC_Col,29.100641,24.646,1,1,2818048
16,2048,10944,NN_RC_Row,31.825035,22.537,0,1,2818048
16,2048,10944,NT_RR_Col,29.137209,24.615,1,1,2818048
16,2048,10944,NT_RR_Row,31.826542,22.535,0,1,2818048
16,2048,10944,TN_CC_Col,29.026522,24.709,1,1,2818048
16,2048,10944,TN_CC_Row,31.825035,22.537,0,1,2818048
16,2048,10944,TT_CR_Col,29.016500,24.718,1,1,2818048
16,2048,10944,TT_CR_Row,31.838598,22.527,0,1,2818048
